example_idx	token_idx	token	probability	contrast_prob	contrast_prob_diff	pcxmi	kl_divergence	kl_div_10	top_p_size_10	kl_div_30	top_p_size_30	kl_div_50	top_p_size_50	kl_div_70	top_p_size_70	kl_div_90	top_p_size_90	kl_div_l0	kl_div_l1	kl_div_l2	kl_div_l3	kl_div_l4	kl_div_l5	src_ctx_attr	src_brk_attr	src_curr_attr	src_eos_attr	tgt_curr_attr	is_supporting_context	is_context_sensitive	is_example_correct
4	3	'	0.9924	0.9914	0.001	-0.0014	0.0014	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0065	0.0121	0.0007	0.0007	0.1914	0.2278	0.2028	0.0371	0.3409	0	0	1
4	4	ont	0.9875	0.9791	0.0084	-0.0123	0.0047	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0036	0.0071	0.0139	0.0153	0.0365	0.1523	0.188	0.3562	0.057	0.2465	0	0	1
4	5	▁plus	0.1956	0.417	-0.2214	1.0922	0.1127	0.0	1.0	0.0	1.0	0.1247	1.0	0.1247	2.0	0.1135	3.0	0.0	0.0013	0.0077	0.011	0.0055	0.0343	0.0905	0.1242	0.5582	0.0504	0.1767	0	0	1
4	6	▁quitté	0.9363	0.9733	-0.0369	0.0558	0.0301	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0049	0.013	0.0625	0.0422	0.074	0.0824	0.2917	0.0283	0.5236	0	0	1
4	7	▁la	0.9887	0.991	-0.0024	0.0034	0.0013	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.0093	0.0117	0.0258	0.0005	0.0903	0.0895	0.2783	0.0336	0.5083	0	0	1
4	8	▁prison	0.9993	0.9994	-0.0001	0.0001	0.0001	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.0075	0.0176	0.0148	0.0287	0.1014	0.0645	0.3884	0.0357	0.4101	0	0	1
4	9	.	0.9439	0.9341	0.0098	-0.015	0.0024	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.006	0.0178	0.0291	0.0044	0.0962	0.1002	0.1326	0.0411	0.63	0	0	1
4	10	</s>	0.9966	0.9964	0.0002	-0.0003	0.0001	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.004	0.0547	0.0357	0.0111	0.0001	0.0686	0.1012	0.1129	0.0268	0.6905	0	0	1
5	0	▁Apparemment	0.9124	0.9252	-0.0128	0.0201	0.016	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0004	0.0004	0.0006	0.0028	0.1278	0.26	0.5829	0.0293	0.0	0	0	0
5	1	,	0.9597	0.9634	-0.0038	0.0057	0.0033	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0018	0.0082	0.0113	0.005	0.0001	0.1317	0.0924	0.305	0.0202	0.4506	0	0	0
5	2	▁il	0.75	0.7386	0.0113	-0.0219	0.0082	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0013	2.0	0.0	0.0059	0.0131	0.0206	0.0836	0.1035	0.2731	0.1796	0.2582	0.03	0.2591	0	1	0
5	3	▁n	0.5631	0.6394	-0.0763	0.1833	0.0289	0.0	1.0	0.0	1.0	0.0	1.0	0.0181	2.0	0.0181	2.0	0.0	0.0002	0.0076	0.0129	0.0252	0.0001	0.1261	0.082	0.5185	0.0454	0.228	0	0	0
5	4	'	0.9948	0.9975	-0.0027	0.0039	0.0021	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0032	0.0058	0.0046	0.0006	0.1798	0.1484	0.2494	0.0334	0.3889	0	0	0
5	5	a	0.3312	0.5065	-0.1752	0.6127	0.193	0.192	1.0	0.192	1.0	0.192	2.0	0.192	2.0	0.1921	3.0	0.0	0.0012	0.0047	0.0078	0.0124	0.0786	0.1173	0.1355	0.4517	0.0445	0.251	0	0	0
5	6	▁pas	0.8542	0.8545	-0.0002	0.0004	0.005	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0005	2.0	0.0	0.0004	0.011	0.0294	0.0089	0.0002	0.1333	0.0736	0.4149	0.0308	0.3474	0	0	0
5	7	▁de	0.9151	0.9377	-0.0225	0.0351	0.0189	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0039	0.0083	0.0366	0.0619	0.1063	0.0652	0.3533	0.0259	0.4492	0	0	0
5	8	▁signal	0.9642	0.9862	-0.022	0.0325	0.0219	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0011	0.0046	0.0086	0.0224	0.15	0.22	0.0849	0.3286	0.0331	0.3335	0	0	0
5	9	▁dans	0.6008	0.5613	0.0395	-0.0981	0.0191	0.0	1.0	0.0	1.0	0.0	1.0	0.0007	2.0	0.0163	4.0	0.0	0.0001	0.0735	0.0177	0.0194	0.0347	0.0761	0.0372	0.373	0.0417	0.4721	0	0	0
5	10	▁la	0.9909	0.9909	-0.0	0.0	0.0004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0034	0.0099	0.0096	0.0004	0.0687	0.0502	0.5075	0.0314	0.3423	0	0	0
5	11	▁jungle	0.9975	0.9976	-0.0001	0.0001	0.0002	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0003	0.0048	0.0107	0.0221	0.0316	0.1007	0.0196	0.7133	0.034	0.1324	0	0	0
5	12	.	0.9802	0.9777	0.0025	-0.0036	0.0007	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.0068	0.0072	0.0179	0.0033	0.0622	0.0717	0.244	0.0362	0.5859	0	0	0
5	13	</s>	0.9975	0.9971	0.0004	-0.0006	0.0003	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0046	0.0244	0.0206	0.0011	0.0002	0.0541	0.0463	0.2423	0.0324	0.625	0	0	0
6	0	▁Et	0.5943	0.6833	-0.089	0.2012	0.0357	0.0	1.0	0.0	1.0	0.0	1.0	0.0077	2.0	0.0159	3.0	0.0	0.0	0.0003	0.0002	0.0003	0.0021	0.2168	0.2627	0.4473	0.0732	0.0	0	0	0
6	1	▁quand	0.9322	0.9699	-0.0377	0.0572	0.0206	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0006	0.0263	0.0221	0.0254	0.0672	0.2328	0.1372	0.4397	0.042	0.1482	0	0	0
6	2	▁le	0.9119	0.8908	0.0211	-0.0337	0.0139	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0002	1.0	0.0	0.0	0.0083	0.0307	0.0224	0.0175	0.0889	0.0427	0.7733	0.0285	0.0665	0	0	0
6	3	▁ballon	0.9981	0.9948	0.0033	-0.0048	0.0021	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0043	0.0193	0.0198	0.0507	0.0807	0.0711	0.0443	0.7675	0.0343	0.0828	0	0	0
6	4	▁de	0.9461	0.8893	0.0568	-0.0893	0.0345	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0241	1.0	0.0	0.0001	0.0226	0.0387	0.0275	0.0008	0.0546	0.0581	0.3804	0.0381	0.4688	0	0	0
6	5	▁foot	0.9574	0.9714	-0.0139	0.0208	0.0035	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0029	0.0257	0.0304	0.0376	0.0866	0.0537	0.019	0.4502	0.0322	0.4449	0	0	0
6	6	▁vous	0.5888	0.6508	-0.0621	0.1446	0.1493	0.0	1.0	0.0	1.0	0.0	1.0	0.1182	2.0	0.1085	4.0	0.0	0.0	0.0132	0.0451	0.0564	0.1851	0.0805	0.0541	0.4482	0.0512	0.366	0	0	0
6	7	▁a	0.6449	0.7147	-0.0698	0.1482	0.1327	0.0	1.0	0.0	1.0	0.0	1.0	0.077	2.0	0.1244	4.0	0.0	0.0	0.0324	0.0357	0.0322	0.0252	0.0997	0.0826	0.4209	0.0268	0.37	0	0	0
6	8	▁touché	0.495	0.4541	0.0409	-0.1245	0.0336	0.0	1.0	0.0	1.0	0.0041	2.0	0.0041	2.0	0.0186	4.0	0.0	0.0	0.014	0.0281	0.0435	0.0921	0.1601	0.062	0.4414	0.0358	0.3007	0	0	0
6	9	▁la	0.8715	0.6945	0.177	-0.3275	0.0958	0.0	1.0	0.0	1.0	0.0	1.0	0.0392	1.0	0.0727	2.0	0.0	0.001	0.0222	0.0572	0.0522	0.0202	0.0409	0.0488	0.311	0.027	0.5723	0	0	0
6	10	▁poitrine	0.9965	0.9948	0.0017	-0.0025	0.0023	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0177	0.0417	0.0983	0.2664	0.0458	0.021	0.6563	0.0215	0.2554	0	0	0
6	11	,	0.9499	0.9624	-0.0125	0.0189	0.0047	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0004	0.0336	0.0649	0.1401	0.0016	0.0482	0.0442	0.2284	0.0221	0.6571	0	0	0
6	12	▁il	0.9913	0.9909	0.0003	-0.0005	0.0006	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.005	0.0204	0.0289	0.0332	0.0189	0.1259	0.0772	0.2592	0.0281	0.5095	0	1	0
6	13	▁l	0.6988	0.7352	-0.0364	0.0733	0.0305	0.0	1.0	0.0	1.0	0.0	1.0	0.001	2.0	0.0236	3.0	0.0	0.0002	0.0372	0.0369	0.0456	0.0159	0.0441	0.0425	0.47	0.0298	0.4135	0	1	0
6	14	'	0.9981	0.9989	-0.0008	0.0012	0.0003	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0002	0.0265	0.0305	0.0231	0.0004	0.1861	0.0783	0.3917	0.0195	0.3244	0	0	0
6	15	a	0.9949	0.9923	0.0026	-0.0038	0.0008	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0076	0.0228	0.0353	0.0729	0.0486	0.0423	0.0214	0.5017	0.0172	0.4174	0	0	0
6	16	▁d	0.8518	0.8319	0.0199	-0.0341	0.0629	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0381	7.0	0.0	0.0023	0.0258	0.0268	0.0756	0.1121	0.0358	0.018	0.73	0.0176	0.1987	0	0	0
6	17	élo	0.4943	0.7069	-0.2126	0.5161	0.1569	0.0	1.0	0.0	1.0	0.0584	2.0	0.0584	2.0	0.1176	4.0	0.0	0.0001	0.0299	0.0389	0.0372	0.051	0.0253	0.0167	0.6548	0.0162	0.287	0	0	0
6	18	gé	0.5964	0.7433	-0.1469	0.3178	0.2036	0.0	1.0	0.0	1.0	0.0	1.0	0.0338	2.0	0.1929	3.0	0.0	0.0	0.0171	0.0404	0.0378	0.044	0.0147	0.0106	0.2238	0.0076	0.7433	0	0	0
6	19	,	0.853	0.8656	-0.0125	0.021	0.019	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0063	3.0	0.0	-0.0	0.0369	0.0671	0.1047	0.0256	0.0298	0.0323	0.241	0.0179	0.679	0	0	0
6	20	▁causant	0.4472	0.4242	0.0231	-0.0764	0.0505	0.0	1.0	0.0	1.0	0.0011	2.0	0.0011	2.0	0.0384	12.0	0.0	0.0036	0.0258	0.0455	0.0518	0.2986	0.0487	0.0226	0.4052	0.0363	0.4873	0	0	0
6	21	▁la	0.5146	0.5328	-0.0182	0.0501	0.0046	0.0	1.0	0.0	1.0	0.0	1.0	0.0012	2.0	0.0012	2.0	0.0	0.0188	0.0357	0.0361	0.0422	0.0123	0.074	0.0152	0.4415	0.041	0.4283	0	0	0
6	22	▁l	0.8529	0.4271	0.4258	-0.9978	0.4078	0.4075	1.0	0.4075	1.0	0.4075	1.0	0.4075	1.0	0.4075	2.0	0.0	0.0002	0.0285	0.0286	0.037	0.084	0.0748	0.0248	0.699	0.0353	0.1661	0	0	0
6	23	arme	0.9605	0.9606	-0.0001	0.0002	0.0021	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0003	0.0269	0.0243	0.0212	0.03	0.0509	0.0226	0.5606	0.0677	0.2982	0	0	0
6	24	▁dans	0.8977	0.8482	0.0495	-0.0818	0.0175	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0057	2.0	0.0	0.0	0.022	0.0376	0.0299	0.014	0.0455	0.0138	0.245	0.0169	0.6788	0	0	0
6	25	▁vos	0.7086	0.6818	0.0268	-0.0556	0.0064	0.0	1.0	0.0	1.0	0.0	1.0	0.0016	1.0	0.0017	3.0	0.0	0.0001	0.0224	0.0355	0.0153	0.0043	0.1369	0.0409	0.3774	0.019	0.4259	0	0	0
6	26	▁poumons	0.999	0.999	-0.0	0.0	0.0001	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.0126	0.0371	0.0418	0.0769	0.1029	0.0304	0.5214	0.026	0.3193	0	0	0
6	27	▁et	0.9486	0.9502	-0.0016	0.0024	0.0024	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0285	0.0354	0.0368	0.0404	0.0088	0.1272	0.0582	0.218	0.0432	0.5534	0	0	0
6	28	▁un	0.924	0.9195	0.0044	-0.0069	0.0026	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.0114	0.0286	0.0266	0.0007	0.0426	0.0339	0.2253	0.0352	0.663	0	0	0
6	29	▁petit	0.9743	0.9792	-0.0049	0.0073	0.005	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.007	0.0201	0.0321	0.0804	0.0572	0.0284	0.2597	0.0472	0.6075	0	0	0
6	30	▁pneu	0.9991	0.9926	0.0065	-0.0094	0.0053	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0118	0.0192	0.0257	0.0192	0.068	0.0513	0.549	0.1607	0.1711	0	0	0
6	31	moto	0.0001	0.0	0.0001	-2.2635	0.0141	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0002	0.0332	0.0232	0.0659	0.0354	0.0643	0.0314	0.4746	0.1043	0.3254	0	0	0
6	32	x	0.0001	0.0062	-0.0062	6.5061	0.0874	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0475	2.0	0.0	0.0	0.0126	0.0226	0.182	0.0047	0.0709	0.0344	0.4858	0.1202	0.2888	0	0	0
6	33	.	0.967	0.9307	0.0363	-0.0552	0.0609	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.2374	0.2453	0.5856	0.1028	0.0694	0.0432	0.5925	0.1543	0.1406	0	0	0
6	34	</s>	0.9974	0.9968	0.0006	-0.0009	0.0002	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0014	0.0203	0.0164	0.0042	0.0	0.0427	0.0273	0.297	0.0764	0.5566	0	0	0
7	0	▁Et	0.7249	0.6645	0.0604	-0.1255	0.1911	0.0	1.0	0.0	1.0	0.0	1.0	0.108	1.0	0.1886	4.0	0.0	0.0	0.0003	0.0004	0.0013	0.0066	0.4934	0.181	0.2778	0.0478	0.0	0	0	1
