example_idx	token_idx	side	target_cst_idx	token	saliency_contrast_prob_diff	saliency_kl_divergence	attention_base	input_x_gradient_contrast_prob_diff	input_x_gradient_kl_divergence	is_supporting_context	is_example_correct
1	36	S	5	ten	0.5854	0.5544	0.0014	0.0352	0.0333	0	0
1	37	S	5	'	0.2096	0.1987	0.0008	0.031	0.0294	0	0
1	38	S	5	s	0.1656	0.1568	0.0006	0.0088	0.0084	0	0
1	39	S	5	▁far	0.0926	0.0876	0.0008	0.0053	0.005	0	0
1	40	S	5	t	0.0921	0.0873	0.0003	-0.0005	-0.0005	0	0
1	41	S	5	.	0.1149	0.1088	0.0002	-0.0018	-0.0016	0	0
1	42	S	5	▁It	0.0838	0.0793	0.0006	0.0151	0.0143	0	0
1	43	S	5	'	0.0711	0.0672	0.0012	0.003	0.0029	0	0
1	44	S	5	s	0.1021	0.0967	0.0015	0.0072	0.0069	0	0
1	45	S	5	▁those	0.2067	0.1954	0.0059	0.0038	0.0036	0	0
1	46	S	5	▁ma	1.0622	1.0051	0.0069	-0.0457	-0.0434	0	0
1	47	S	5	ve	0.6916	0.6545	0.0016	0.0048	0.0046	0	0
1	48	S	5	rick	1.5327	1.4517	0.0054	-0.0456	-0.0435	0	0
1	49	S	5	s	0.3022	0.2859	0.0022	0.0193	0.0183	0	0
1	50	S	5	▁from	0.1499	0.142	0.002	-0.0038	-0.0036	0	0
1	51	S	5	▁up	0.1196	0.1131	0.001	0.0021	0.0022	0	0
1	52	S	5	▁north	0.2451	0.2315	0.0031	-0.0054	-0.0051	0	0
1	53	S	5	▁we	0.0644	0.0608	0.0082	-0.0033	-0.0031	0	0
1	54	S	5	▁put	0.0683	0.0646	0.0046	0.0025	0.0023	0	0
1	55	S	5	▁in	0.0708	0.0671	0.0021	-0.0016	-0.0014	0	0
1	56	S	5	▁there	0.0454	0.0429	0.0031	-0.0013	-0.0012	0	0
1	57	S	5	▁at	0.0419	0.0398	0.0017	0.0002	0.0002	0	0
1	58	S	5	▁the	0.2002	0.19	0.0009	0.0103	0.0097	0	0
1	59	S	5	▁last	0.0604	0.0571	0.0022	0.0073	0.0069	0	0
1	60	S	5	▁minute	0.047	0.0444	0.0021	0.0016	0.0014	0	0
1	61	S	5	.	0.0718	0.0681	0.002	-0.0063	-0.0059	0	0
2	0	S	7	▁I	0.1428	0.3065	0.0006	-0.0103	-0.022	0	1
2	1	S	7	▁lo	0.1084	0.2325	0.0011	-0.0066	-0.0142	0	1
2	2	S	7	a	0.0595	0.1277	0.0004	0.0072	0.0154	0	1
2	3	S	7	the	0.0634	0.1361	0.0007	-0.0007	-0.0014	0	1
2	4	S	7	▁that	0.2346	0.5034	0.0003	0.0025	0.0054	0	1
2	5	S	7	▁song	0.9745	2.0916	0.0043	0.0535	0.1147	1	1
2	6	S	7	.	0.2665	0.572	0.0004	0.017	0.0366	0	1
2	7	S	7	▁But	0.1762	0.3781	0.0005	0.0272	0.0585	0	1
2	8	S	7	▁why	0.0968	0.2078	0.0005	0.0082	0.0177	0	1
2	9	S	7	▁did	0.0568	0.122	0.0007	0.0011	0.0024	0	1
2	10	S	7	▁you	0.0382	0.082	0.0015	0.0038	0.0082	0	1
2	11	S	7	▁bite	0.1314	0.2821	0.0014	-0.0104	-0.0223	0	1
2	12	S	7	▁poor	0.1029	0.2206	0.0027	-0.0038	-0.0082	0	1
2	13	S	7	▁Bird	0.3616	0.7759	0.0066	-0.0045	-0.0098	0	1
2	14	S	7	ie	0.1228	0.2634	0.0038	-0.0119	-0.0255	0	1
2	15	S	7	'	0.0658	0.1412	0.0008	0.0021	0.0046	0	1
2	16	S	7	s	0.0356	0.0765	0.0004	-0.0052	-0.0111	0	1
2	17	S	7	▁head	0.0818	0.1756	0.0009	-0.0066	-0.0142	0	1
2	18	S	7	▁off	0.0533	0.1144	0.0004	0.0027	0.0059	0	1
2	19	S	7	?	0.0397	0.0853	0.0004	-0.0	-0.0	0	1
2	20	S	7	▁Because	0.0479	0.1027	0.0004	0.0012	0.0026	0	1
2	21	S	7	▁I	0.0715	0.1535	0.0013	-0.0092	-0.0198	0	1
2	22	S	7	'	0.019	0.0408	0.0005	-0.001	-0.0021	0	1
2	23	S	7	ve	0.0162	0.0347	0.0005	-0.0021	-0.0045	0	1
2	24	S	7	▁heard	0.0666	0.1428	0.001	0.006	0.0129	0	1
2	25	S	7	▁it	0.0215	0.0461	0.0007	-0.0024	-0.0052	0	1
2	26	S	7	▁more	0.0434	0.0931	0.0002	0.0064	0.0138	0	1
2	27	S	7	▁times	0.0424	0.0908	0.0004	0.0007	0.0014	0	1
2	28	S	7	▁than	0.0339	0.0727	0.0004	0.003	0.0064	0	1
2	29	S	7	▁I	0.0496	0.1065	0.0009	-0.0062	-0.0133	0	1
2	30	S	7	▁care	0.0517	0.1109	0.0012	-0.0052	-0.0112	0	1
2	31	S	7	▁to	0.0678	0.1454	0.0009	0.0018	0.0038	0	1
2	32	S	7	.	0.0601	0.1288	0.0005	0.0008	0.0016	0	1
2	33	S	7	▁It	0.0459	0.0984	0.005	0.0004	0.001	1	1
2	34	S	7	▁haunt	0.2249	0.4823	0.0053	-0.005	-0.0108	0	1
2	35	S	7	s	0.0264	0.0566	0.0007	0.0035	0.0075	0	1
2	36	S	7	▁me	0.0281	0.0604	0.0016	-0.0028	-0.006	0	1
2	37	S	7	.	0.045	0.0965	0.0007	-0.0011	-0.0023	0	1
2	38	S	7	▁Just	0.0446	0.0955	0.0017	0.001	0.0022	0	1
2	39	S	7	▁stop	0.0373	0.0799	0.0056	-0.0029	-0.0063	0	1
2	40	S	7	,	0.0282	0.0606	0.0023	0.0013	0.0029	0	1
2	41	S	7	▁for	0.0303	0.065	0.0037	-0.0013	-0.0029	0	1
2	42	S	7	▁a	0.0279	0.0599	0.0029	0.0033	0.007	0	1
2	43	S	7	▁moment	0.0227	0.0486	0.0047	-0.0008	-0.0018	0	1
2	44	S	7	.	0.0578	0.1238	0.0051	-0.001	-0.0022	0	1
3	0	S	4	▁Engine	0.0581	0.2068	0.002	-0.0004	-0.0012	0	1
3	1	S	4	s	0.0072	0.0256	0.0003	-0.0002	-0.0008	0	1
3	2	S	4	▁are	0.0085	0.0305	0.0004	-0.0007	-0.0024	0	1
3	3	S	4	▁shut	0.0239	0.0851	0.0005	-0.0005	-0.0018	0	1
3	4	S	4	▁down	0.0082	0.0293	0.0001	0.0	0.0002	0	1
3	5	S	4	.	0.013	0.0463	0.0002	-0.0008	-0.003	0	1
3	6	S	4	▁No	0.0066	0.0235	0.0009	-0.0008	-0.0029	0	1
3	7	S	4	▁lights	0.0274	0.0973	0.0012	-0.0	-0.0001	0	1
3	8	S	4	.	0.0243	0.0871	0.0002	-0.0017	-0.006	0	1
3	9	S	4	▁Whoa	0.1159	0.4157	0.0005	0.0012	0.0044	0	1
3	10	S	4	,	0.0152	0.0547	0.0001	-0.0	-0.0001	0	1
3	11	S	4	▁it	0.0056	0.0198	0.0006	-0.0001	-0.0003	0	1
3	12	S	4	'	0.006	0.0215	0.0003	0.0	-0.0	0	1
3	13	S	4	s	0.007	0.0251	0.0007	-0.0005	-0.0017	0	1
3	14	S	4	▁cold	0.0243	0.0868	0.0014	-0.0007	-0.0023	0	1
3	15	S	4	.	0.0179	0.0637	0.0002	-0.0014	-0.0051	0	1
3	16	S	4	▁It	0.0106	0.0372	0.0008	-0.001	-0.0038	0	1
3	17	S	4	'	0.0072	0.0255	0.0003	-0.0004	-0.0015	0	1
3	18	S	4	s	0.0134	0.0472	0.0005	0.0005	0.0017	0	1
3	19	S	4	▁like	0.0348	0.1216	0.0019	0.0015	0.0054	0	1
3	20	S	4	▁a	0.0407	0.1445	0.0012	0.0009	0.0035	0	1
3	21	S	4	▁dead	0.0923	0.3285	0.0021	0.0079	0.0283	0	1
3	22	S	4	▁animal	0.3433	1.2233	0.0044	-0.009	-0.032	1	1
3	23	S	4	.	0.0633	0.2253	0.0007	-0.0022	-0.0076	0	1
3	24	S	4	▁There	0.0256	0.0911	0.0022	0.0008	0.0031	0	1
3	25	S	4	'	0.0122	0.0434	0.0006	0.0007	0.0023	0	1
3	26	S	4	s	0.016	0.057	0.0022	-0.0008	-0.0029	0	1
3	27	S	4	▁something	0.0262	0.0932	0.0089	0.0014	0.0051	0	1
3	28	S	4	▁really	0.0193	0.0693	0.002	-0.0005	-0.0022	0	1
3	29	S	4	▁wrong	0.0263	0.0937	0.0052	-0.001	-0.0034	0	1
3	30	S	4	▁here	0.0349	0.124	0.0187	-0.0012	-0.0042	0	1
3	31	S	4	.	0.0202	0.0722	0.0032	-0.0021	-0.0077	0	1
4	0	S	1	▁-	0.0037	0.0216	0.0001	0.0005	0.0031	0	1
4	1	S	1	▁What	0.0019	0.013	0.0002	0.0001	0.0009	0	1
4	2	S	1	▁kind	0.0024	0.0163	0.0003	0.0004	0.0027	0	1
4	3	S	1	▁of	0.0046	0.0307	0.0003	-0.0001	-0.0015	0	1
4	4	S	1	▁Fa	0.0026	0.0257	0.0004	0.0001	0.0006	0	1
4	5	S	1	e	0.0017	0.0139	0.0001	0.0	0.0	0	1
4	6	S	1	▁can	0.0012	0.0084	0.0002	0.0001	0.001	0	1
4	7	S	1	▁do	0.001	0.0066	0.0002	0.0	0.0002	0	1
4	8	S	1	▁that	0.0023	0.0143	0.0001	0.0001	0.0008	0	1
4	9	S	1	?	0.0019	0.0124	0.0001	0.0002	0.0012	0	1
4	10	S	1	▁-	0.0033	0.0213	0.0001	0.0	0.0004	0	1
4	11	S	1	▁A	0.002	0.0143	0.0003	0.0	0.0001	0	1
4	12	S	1	▁L	0.0026	0.0173	0.0004	0.0003	0.0013	0	1
4	13	S	1	ider	0.0026	0.0185	0.0002	0.0001	0.0008	0	1
4	14	S	1	c	0.001	0.0073	0.0001	0.0001	0.0004	0	1
4	15	S	1	.	0.0042	0.0276	0.0001	-0.0	0.0001	0	1
4	16	S	1	▁T	0.0026	0.0157	0.0005	0.0001	0.0	0	1
4	17	S	1	rick	0.0059	0.0354	0.0003	-0.0	0.0006	0	1
4	18	S	1	ster	0.0022	0.0183	0.0002	0.0001	0.0001	0	1
4	19	S	1	▁Fa	0.0017	0.0121	0.001	-0.0002	-0.0013	0	1
4	20	S	1	e	0.0015	0.0117	0.0002	-0.0001	-0.0014	0	1
4	21	S	1	▁capable	0.0048	0.0299	0.0002	-0.0	-0.0	0	1
4	22	S	1	▁of	0.0068	0.0495	0.001	-0.0	-0.0007	0	1
4	23	S	1	▁imp	0.0012	0.0076	0.0002	0.0	-0.0002	0	1
4	24	S	1	re	0.0011	0.0083	0.0002	0.0001	0.0016	0	1
4	25	S	1	gn	0.002	0.016	0.0002	0.0003	0.0021	0	1
4	26	S	1	ating	0.0026	0.0188	0.0002	-0.0	-0.0	0	1
4	27	S	1	▁a	0.0022	0.0163	0.0008	-0.0001	-0.0004	0	1
4	28	S	1	▁host	0.0043	0.0317	0.0011	-0.0	0.0005	0	1
4	29	S	1	▁without	0.0031	0.02	0.0003	-0.0003	-0.001	0	1
4	30	S	1	▁detection	0.0085	0.0591	0.0002	-0.0	0.0021	0	1
4	31	S	1	.	0.0066	0.0385	0.0002	-0.0002	-0.0001	0	1
4	32	S	1	▁The	0.0035	0.0206	0.0021	-0.0005	-0.0024	0	1
4	33	S	1	▁o	0.0014	0.0091	0.0016	-0.0001	-0.0007	0	1
4	34	S	1	bl	0.0019	0.0122	0.0007	-0.0	0.0002	0	1
4	35	S	1	iv	0.0017	0.0117	0.0002	-0.0002	-0.001	0	1
4	36	S	1	ious	0.0044	0.0225	0.0002	-0.0001	0.0006	0	1
4	37	S	1	▁mother	0.0085	0.0628	0.0044	-0.0007	-0.0048	0	1
4	38	S	1	▁finds	0.0059	0.0373	0.0027	-0.0004	-0.0015	0	1
4	39	S	1	▁herself	0.0289	0.2601	0.0009	0.0052	0.0498	0	1
4	40	S	1	▁delivering	0.0095	0.0659	0.0007	-0.0004	-0.0011	0	1
4	41	S	1	▁his	0.01	0.0696	0.0017	-0.0015	-0.011	0	1
4	42	S	1	▁baby	0.0066	0.0535	0.0018	-0.0004	-0.0013	0	1
4	43	S	1	▁mere	0.0158	0.0966	0.0007	0.001	0.0044	0	1
4	44	S	1	▁days	0.0046	0.0279	0.0004	0.0004	0.003	0	1
4	45	S	1	▁later	0.0042	0.024	0.0008	0.0006	0.0033	0	1
4	46	S	1	.	0.006	0.0361	0.0003	-0.0006	-0.0025	0	1
4	47	S	1	▁Then	0.0057	0.0418	0.0053	-0.0004	-0.0029	0	1
4	48	S	1	▁we	0.0078	0.0528	0.0053	0.0006	0.0021	0	1
4	49	S	1	▁wipe	0.0165	0.1275	0.005	-0.0002	-0.0003	0	1
4	50	S	1	▁the	0.0164	0.136	0.0031	-0.0015	-0.0088	0	1
4	51	S	1	▁mothers	0.0601	0.5311	0.0096	0.0013	0.0087	1	1
4	52	S	1	'	0.0202	0.1752	0.0008	0.0015	0.0134	0	1
4	53	S	1	▁memories	0.0306	0.264	0.0023	-0.0004	-0.0045	0	1
4	54	S	1	,	0.0091	0.068	0.0013	-0.0019	-0.0149	0	1
4	55	S	1	▁convince	0.0219	0.1288	0.006	0.0007	0.0039	0	1
4	56	S	1	▁them	0.01	0.0581	0.0081	-0.0003	-0.0007	0	1
4	57	S	1	▁they	0.0226	0.0939	0.0083	-0.0001	0.0008	1	1
4	58	S	1	'	0.0061	0.0317	0.0004	-0.0001	0.0003	0	1
4	59	S	1	ve	0.008	0.0467	0.0038	0.0007	0.0037	0	1
4	60	S	1	▁re	0.004	0.0241	0.0024	0.0002	0.0012	0	1
4	61	S	1	-	0.0024	0.0148	0.0003	0.0001	0.0004	0	1
4	62	S	1	off	0.004	0.0269	0.0011	-0.0	-0.0012	0	1
4	63	S	1	ended	0.0122	0.0709	0.0009	0.0005	0.0028	0	1
4	64	S	1	▁out	0.0081	0.0487	0.0007	-0.0014	-0.0094	0	1
4	65	S	1	▁in	0.0035	0.0252	0.0017	0.0	-0.0006	0	1
4	66	S	1	▁the	0.0098	0.0612	0.0009	-0.0015	-0.0081	0	1
4	67	S	1	▁world	0.0084	0.0509	0.0036	-0.0003	-0.0021	0	1
4	68	S	1	...	0.0065	0.0449	0.0032	0.0002	0.0035	0	1
5	0	S	2	▁Well	0.0128	0.081	0.0002	-0.0008	-0.0049	0	1
5	1	S	2	,	0.0095	0.0606	0.0001	-0.0005	-0.0029	0	1
5	2	S	2	▁got	0.009	0.0574	0.0002	-0.0015	-0.0095	0	1
5	3	S	2	▁what	0.0089	0.0574	0.0004	0.0003	0.0021	0	1
5	4	S	2	▁we	0.0099	0.0636	0.0004	-0.0011	-0.0068	0	1
5	5	S	2	▁came	0.0102	0.0648	0.0002	-0.0019	-0.0117	0	1
5	6	S	2	▁for	0.0096	0.0612	0.0002	-0.0016	-0.0101	0	1
5	7	S	2	.	0.0116	0.0739	0.0003	0.0002	0.0012	0	1
5	8	S	2	▁No	0.0069	0.0432	0.0006	-0.0007	-0.0043	0	1
5	9	S	2	.	0.0127	0.0814	0.0003	0.0007	0.0047	0	1
5	10	S	2	▁V	0.0068	0.0435	0.0006	-0.0009	-0.0057	0	1
5	11	S	2	á	0.0169	0.1082	0.0003	-0.0006	-0.0034	0	1
5	12	S	2	mon	0.0104	0.0669	0.0003	-0.0002	-0.0013	0	1
5	13	S	2	os	0.0098	0.063	0.0004	-0.0007	-0.0042	0	1
5	14	S	2	.	0.0186	0.1189	0.0002	0.0005	0.0034	0	1
5	15	S	2	▁Brand	0.0217	0.1408	0.0016	-0.0023	-0.0149	0	1
5	16	S	2	y	0.0068	0.044	0.0003	-0.0003	-0.0016	0	1
5	17	S	2	?	0.0096	0.0613	0.0001	-0.0015	-0.0091	0	1
5	18	S	2	▁Thank	0.023	0.1491	0.0004	0.0018	0.0119	0	1
5	19	S	2	▁you	0.0068	0.0433	0.0002	-0.0004	-0.0028	0	1
5	20	S	2	,	0.0129	0.0826	0.0001	-0.0006	-0.004	0	1
5	21	S	2	▁no	0.0058	0.0359	0.0007	-0.0007	-0.0042	0	1
5	22	S	2	.	0.0138	0.0885	0.0001	0.0014	0.0095	0	1
5	23	S	2	▁You	0.0145	0.0931	0.0008	-0.0001	-0.0006	0	1
5	24	S	2	▁know	0.0172	0.1107	0.0002	-0.0033	-0.0209	0	1
5	25	S	2	,	0.0154	0.0978	0.0005	0.0003	0.002	0	1
5	26	S	2	▁besides	0.0363	0.2287	0.007	-0.0019	-0.0115	0	1
5	27	S	2	▁finding	0.027	0.1737	0.0019	0.0002	0.0013	0	1
5	28	S	2	▁those	0.0172	0.1072	0.0022	-0.0	0.0	0	1
5	29	S	2	▁cage	0.0667	0.429	0.0024	-0.001	-0.0065	0	1
5	30	S	2	s	0.0144	0.0932	0.0005	-0.0013	-0.0081	0	1
5	31	S	2	,	0.0314	0.2023	0.0036	0.0028	0.0182	0	1
5	32	S	2	▁my	0.0326	0.2079	0.0136	-0.0044	-0.0278	0	1
5	33	S	2	▁men	0.0561	0.3554	0.0054	0.0017	0.0113	0	1
5	34	S	2	▁also	0.0356	0.2266	0.002	-0.0032	-0.0208	0	1
5	35	S	2	▁found	0.0852	0.5468	0.0034	0.0044	0.0278	0	1
5	36	S	2	▁your	0.0572	0.3661	0.0069	0.0005	0.0038	0	1
5	37	S	2	▁radio	0.2953	1.9035	0.008	0.0044	0.0281	1	1
5	38	S	2	.	0.0819	0.5242	0.0034	0.0059	0.0384	0	1
6	0	S	13	▁Oh	0.0028	0.002	0.0001	-0.0008	-0.0005	0	1
6	1	S	13	.	0.0019	0.0015	0.0001	-0.0002	-0.0002	0	1
6	2	S	13	▁Hi	0.0008	0.0006	0.0001	-0.0001	-0.0001	0	1
6	3	S	13	,	0.0012	0.001	0.0001	-0.0001	-0.0001	0	1
6	4	S	13	▁Dr	0.0017	0.0015	0.0009	0.0002	0.0002	0	1
6	5	S	13	.	0.0024	0.0019	0.0001	-0.0001	-0.0001	0	1
6	6	S	13	▁Owen	0.0067	0.005	0.0002	-0.0001	-0.0003	0	1
6	7	S	13	s	0.0011	0.0009	0.0002	-0.0001	-0.0001	0	1
6	8	S	13	.	0.0024	0.002	0.0001	-0.0003	-0.0002	0	1
6	9	S	13	▁My	0.0009	0.0008	0.0003	-0.0	-0.0	0	1
6	10	S	13	▁son	0.0018	0.0015	0.0004	0.0001	0.0	0	1
6	11	S	13	▁posted	0.007	0.0057	0.0003	-0.0004	-0.0004	0	1
6	12	S	13	▁on	0.0026	0.0023	0.0003	-0.0005	-0.0005	0	1
6	13	S	13	▁his	0.0012	0.001	0.0003	-0.0	-0.0	0	1
6	14	S	13	▁Facebook	0.0075	0.0053	0.0002	-0.0003	-0.0001	0	1
6	15	S	13	▁page	0.0026	0.0022	0.0003	-0.0002	-0.0002	0	1
6	16	S	13	▁that	0.0029	0.0023	0.0001	0.0003	0.0002	0	1
6	17	S	13	▁he	0.0009	0.0008	0.0001	-0.0	-0.0001	0	1
6	18	S	13	▁has	0.0013	0.0011	0.0001	0.0001	0.0	0	1
6	19	S	13	▁a	0.0009	0.0008	0.0001	-0.0001	-0.0001	0	1
6	20	S	13	▁bullet	0.0038	0.0035	0.0002	0.0002	0.0001	1	1
6	21	S	13	▁in	0.0018	0.0016	0.0002	-0.0001	-0.0001	0	1
6	22	S	13	▁his	0.0014	0.0011	0.0002	0.0001	0.0001	0	1
6	23	S	13	▁lung	0.0046	0.0044	0.0002	0.0004	0.0003	0	1
6	24	S	13	.	0.0018	0.0016	0.0001	-0.0002	-0.0002	0	1
6	25	S	13	▁It	0.0012	0.0014	0.0001	-0.0001	-0.0002	0	1
6	26	S	13	'	0.0009	0.0008	0.0002	0.0	0.0	0	1
6	27	S	13	s	0.001	0.0009	0.0002	-0.0001	-0.0001	0	1
6	28	S	13	▁kind	0.0021	0.0018	0.0003	-0.0001	-0.0001	0	1
6	29	S	13	▁of	0.0042	0.0038	0.0001	-0.0004	-0.0004	0	1
6	30	S	13	▁cool	0.0015	0.0014	0.0002	-0.0002	-0.0002	0	1
6	31	S	13	,	0.0014	0.0012	0.0002	0.0	-0.0	0	1
6	32	S	13	▁right	0.0014	0.0012	0.0004	-0.0002	-0.0001	0	1
6	33	S	13	?	0.0015	0.0013	0.0004	0.0003	0.0002	0	1
6	34	S	13	▁I	0.0015	0.0013	0.0003	0.0002	0.0002	0	1
6	35	S	13	▁mean	0.0019	0.0017	0.0003	0.0002	0.0001	0	1
6	36	S	13	,	0.0015	0.0014	0.0002	0.0	0.0	0	1
6	37	S	13	▁I	0.0016	0.0014	0.0003	0.0002	0.0002	0	1
6	38	S	13	'	0.0011	0.0009	0.0002	0.0	0.0	0	1
6	39	S	13	m	0.001	0.0008	0.0002	0.0	0.0	0	1
6	40	S	13	▁like	0.0017	0.0015	0.0004	0.0001	0.0001	0	1
6	41	S	13	▁a	0.001	0.0009	0.0003	0.0	0.0	0	1
6	42	S	13	▁medical	0.0039	0.0035	0.0005	-0.0	-0.0001	0	1
6	43	S	13	▁mystery	0.0067	0.0061	0.0006	-0.0003	-0.0003	0	1
6	44	S	13	.	0.0024	0.0023	0.0006	-0.0003	-0.0003	0	1
6	45	S	13	▁Actually	0.0107	0.0082	0.0018	0.0004	-0.0	0	1
6	46	S	13	,	0.0034	0.0032	0.0008	-0.0002	-0.0002	0	1
6	47	S	13	▁the	0.0103	0.0097	0.0008	-0.0013	-0.0014	0	1
6	48	S	13	▁going	0.015	0.0145	0.0008	-0.0006	-0.0007	0	1
6	49	S	13	▁theory	0.0365	0.0348	0.0014	-0.0003	-0.0002	0	1
6	50	S	13	▁is	0.0065	0.0061	0.0016	0.0007	0.0007	0	1
6	51	S	13	▁that	0.0048	0.0045	0.0007	0.0005	0.0004	0	1
6	52	S	13	▁you	0.0021	0.002	0.0011	0.0001	0.0002	0	1
6	53	S	13	▁breath	0.0057	0.0052	0.0017	0.0004	0.0004	0	1
6	54	S	13	ed	0.0018	0.0017	0.0006	0.0	-0.0	0	1
6	55	S	13	▁it	0.0018	0.0016	0.0012	0.0002	0.0001	0	1
6	56	S	13	▁in	0.0032	0.0029	0.0006	-0.0005	-0.0005	0	1
6	57	S	13	▁as	0.0032	0.0026	0.0036	-0.0	-0.0001	0	1
6	58	S	13	▁a	0.0016	0.0014	0.0007	-0.0	-0.0001	0	1
6	59	S	13	▁kid	0.0037	0.0031	0.0047	0.0001	0.0	0	1
6	60	S	13	.	0.0032	0.0029	0.0014	0.0	-0.0001	0	1
