example_idx	token_idx	token	probability	contrast_prob	contrast_prob_diff	pcxmi	kl_divergence	kl_div_10	top_p_size_10	kl_div_30	top_p_size_30	kl_div_50	top_p_size_50	kl_div_70	top_p_size_70	kl_div_90	top_p_size_90	kl_div_l0	kl_div_l1	kl_div_l2	kl_div_l3	kl_div_l4	kl_div_l5	kl_div_l6	kl_div_l7	kl_div_l8	src_langtag_attr	src_ctx_attr	src_brk_attr	src_curr_attr	src_eos_attr	tgt_langtag_attr	tgt_curr_attr	is_supporting_context	is_context_sensitive	is_example_correct	kl_div_l9	kl_div_l10	kl_div_l11
2	2	▁elle	0.3988	0.8762	-0.4773	1.1354	1.303	0.0	1.0	0.0	1.0	0.7959	2.0	1.2211	3.0	1.2642	6.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0791	0.9552		0.0455	0.1759	0.1046	0.2535	0.0409	0.0675	0.312	0	1	1			
2	3	▁te	0.1242	0.9359	-0.8117	2.9141	2.1539	2.1506	1.0	2.1506	1.0	2.1506	1.0	2.1506	1.0	2.1506	2.0	0.0	0.0	0.0	0.0009	0.1178	0.0007	0.0001	0.0		0.0508	0.2716	0.105	0.2731	0.0307	0.0785	0.1903	0	0	1			
2	4	▁han	0.9765	0.9667	0.0097	-0.0144	0.0178	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0		0.0461	0.2852	0.0451	0.3735	0.0273	0.0191	0.2036	0	0	1			
2	5	te	0.9999	1.0	-0.0001	0.0001	0.0001	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0159	0.1244	0.0284	0.0868	0.0101	0.0389	0.6955	0	0	1			
2	6	?	0.0561	0.0842	-0.0281	0.5861	0.0132	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	1.0078		0.0318	0.1942	0.0543	0.1157	0.0198	0.0348	0.5493	0	0	1			
2	7	</s>	0.9985	0.9976	0.0009	-0.0013	0.0007	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0002	0.0016	0.0042	0.0	-0.0		0.0299	0.2181	0.0765	0.1034	0.0194	0.0338	0.5189	0	0	1			
3	0	fr_XX	1.0	1.0	0.0	-0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0008	0.0668	0.0333	0.0344	0.0383	0.1164	0.0628	0.0689	0.3439	0.3285	0.2112	0.0475		0.0	0	0	0	0.0457	0.0013	0.2984
3	1	▁Comme	0.5999	0.8915	-0.2915	0.5714	0.6757	0.0	1.0	0.0	1.0	0.0	1.0	0.7156	2.0	0.6854	2.0	0.0	0.0	0.0	0.0008	0.0776	0.1267	0.0556	0.9557	5.1151	0.0547	0.2092	0.2049	0.315	0.0374	0.1787	0.0	0	0	0	5.5713	4.0299	11.1617
3	2	▁si	0.889	0.672	0.217	-0.4037	0.1469	0.0	1.0	0.0	1.0	0.0	1.0	0.1365	1.0	0.1365	2.0	0.0	0.0001	0.0212	0.0769	0.0044	0.1862	0.0996	0.2676	0.6663	0.0388	0.2766	0.1414	0.2422	0.027	0.0339	0.2401	0	0	0	0.181	0.0001	0.0009
3	3	▁elle	0.9858	0.7237	0.2622	-0.4461	0.264	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.2316	1.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0411	0.0404	0.2899	0.119	0.2082	0.0284	0.0576	0.2565	0	1	0	0.0003	0.0	3.1419
3	4	▁n	0.3319	0.5455	-0.2136	0.7168	0.0935	0.0922	1.0	0.0922	1.0	0.0922	1.0	0.0922	2.0	0.0922	2.0	0.0	0.0	0.0	0.0655	0.0661	0.0	0.0	0.0	0.0001	0.0271	0.1652	0.0452	0.3508	0.0207	0.0197	0.3713	0	0	0	0.2264	0.0033	0.2892
3	5	'	0.9948	0.994	0.0008	-0.0012	0.0001	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.022	0.1027	0.0716	0.1538	0.0146	0.0358	0.5995	0	0	0	0.0	0.0	6.1692
3	6	avait	0.981	0.9844	-0.0034	0.0049	0.0039	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	-0.0	0.0	0.0	0.0001	0.0005	0.0087	0.4545	0.0258	0.1571	0.0448	0.2932	0.0197	0.0197	0.4397	0	0	0	0.0082	0.6282	0.2936
3	7	▁jamais	0.9109	0.9266	-0.0157	0.0246	0.0129	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0029	0.0048	0.0275	0.188	0.0055	0.1995	0.0007	0.0238	0.0999	0.0434	0.2345	0.0176	0.0202	0.5607	0	0	0	0.0588	0.0	0.8066
3	8	▁bou	0.9995	0.9999	-0.0004	0.0005	0.0004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0027	0.0	0.0	0.0001	0.0303	0.1857	0.0399	0.3366	0.0205	0.0101	0.3769	0	0	0	0.0107	0.0	0.0
3	9	gé	1.0	1.0	0.0	-0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0103	0.0587	0.0235	0.1312	0.0086	0.0215	0.7462	0	0	0	0.1429	0.0013	-0.0
3	10	.	0.972	0.9869	-0.0149	0.022	0.0158	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1172	0.0001	0.0	0.0251	0.1128	0.0557	0.1614	0.0173	0.047	0.5807	0	0	0	0.0	0.0	0.0007
3	11	</s>	0.998	0.9962	0.0019	-0.0027	0.001	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0001	0.0001	0.0015	0.068	0.0004	0.0	-0.0	-0.0	0.019	0.0887	0.083	0.0962	0.0141	0.0283	0.6707	0	0	0	-0.0	0.0	0.0393
4	0	fr_XX	1.0	1.0	0.0	-0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0024	5.5849	0.1768	0.1441	0.1625	0.1677	0.1161	0.0559	0.3566	0.2912	0.2492	0.0471		0.0	0	0	1	0.1092	0.2038	0.9825
4	1	▁Quand	0.8795	0.5822	0.2973	-0.5952	0.272	0.0	1.0	0.0	1.0	0.0	1.0	0.122	1.0	0.2516	2.0	0.0	0.0	0.0	0.0001	0.0055	1.572	0.2423	0.617	1.667	0.0525	0.2067	0.2233	0.3927	0.0428	0.082	0.0	0	0	1	0.0303	0.0002	0.0
4	2	▁elles	0.007	0.9976	-0.9907	7.1606	7.3491	7.3604	1.0	7.3604	1.0	7.3604	1.0	7.3604	1.0	7.3604	1.0	0.0	0.0	0.0005	0.0544	0.0329	0.035	0.7792	0.1105	0.3406	0.0312	0.209	0.1483	0.1867	0.0265	0.0673	0.331	0	1	1	16.6892	16.8482	12.5245
4	3	▁n	0.8364	0.9112	-0.0748	0.1236	0.03	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0293	2.0	0.0	0.0	0.0	0.0006	0.0939	0.93	0.0001	0.0	0.0689	0.028	0.1376	0.1225	0.2411	0.0316	0.0345	0.4048	0	0	1	0.049	0.2768	0.0539
4	4	'	0.9951	0.9939	0.0012	-0.0018	0.0002	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.023	0.1324	0.0856	0.1494	0.0251	0.0468	0.5377	0	0	1	0.0	0.0	0.0039
4	5	ont	0.9183	0.9778	-0.0594	0.0905	0.0647	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0002	0.0097	0.0291	0.1287	0.1304	0.2445	0.0254	0.0609	0.381	0	0	1	0.7576	4.9889	0.0023
4	6	▁même	0.5999	0.5268	0.0732	-0.1876	0.0696	0.0	1.0	0.0	1.0	0.0	1.0	0.0355	2.0	0.056	3.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0001	0.1822	0.2675	0.0244	0.1146	0.1243	0.2394	0.0217	0.0291	0.4466	0	0	1	0.1077	0.9592	0.0182
4	7	▁pas	0.9254	0.9663	-0.0409	0.0625	0.0199	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0174	0.0666	0.0683	0.1649	0.0147	0.0191	0.6491	0	0	1	0.0	0.0	0.0009
4	8	▁qui	0.9993	0.9996	-0.0004	0.0005	0.0003	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	-0.0	-0.0	0.0	0.0001	0.2093	0.034	0.0019	0.0203	0.0957	0.0766	0.2104	0.0179	0.0231	0.556	0	0	1	0.0056	0.0004	0.0537
4	9	t	0.9999	1.0	-0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0001	0.0051	0.0	0.0101	0.0486	0.0447	0.0741	0.0102	0.0349	0.7774	0	0	1	0.0	0.0002	0.1101
4	10	té	0.9983	0.9986	-0.0004	0.0005	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0111	0.0503	0.0584	0.0927	0.0108	0.0233	0.7534	0	0	1	0.0	0.0	-0.0
4	11	▁la	0.9928	0.9886	0.0042	-0.0061	0.0019	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.076	0.0383	0.0773	0.0208	0.1503	0.0572	0.1887	0.0136	0.0173	0.5522	0	0	1	0.0	0.0001	0.1943
4	12	▁prison	0.9999	0.9999	0.0	-0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.047	0.0301	0.021	0.1216	0.0482	0.3493	0.0176	0.0141	0.4282	0	0	1	0.0	-0.0	0.0
4	13	.	0.8618	0.9525	-0.0907	0.1443	0.1113	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0176	2.0	0.0	-0.0	0.0	0.0	0.0029	0.1681	0.0124	2.3759	0.1526	0.0225	0.0964	0.141	0.1369	0.0238	0.0305	0.5489	0	0	1	0.0467	0.0001	0.0
4	14	</s>	0.9982	0.9954	0.0028	-0.0041	0.0015	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0002	0.0022	0.1785	0.0	0.0	-0.0	0.0	0.0181	0.1208	0.0858	0.1128	0.0149	0.0215	0.6262	0	0	1	-0.0	-0.0	2.3226
5	0	fr_XX	1.0	0.9999	0.0	-0.0001	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.1329	0.0734	0.0679	0.0715	0.1376	0.1363	0.0627	0.6458	0.0926	0.1723	0.0266		0.0	0	0	1	0.137	0.0186	0.0356
5	1	▁App	0.886	0.9595	-0.0735	0.115	0.119	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0195	2.0	0.0	-0.0	0.0	0.0	0.0316	0.0025	0.0005	0.0007	0.3658	0.0497	0.1881	0.0955	0.5377	0.0296	0.0994	0.0	0	0	1	0.0271	0.6743	1.587
5	2	ar	0.996	0.9966	-0.0006	0.0009	0.0003	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.031	0.1785	0.0523	0.326	0.0182	0.0254	0.3686	0	0	1	0.9835	0.0239	0.0077
5	3	em	1.0	1.0	0.0	-0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0001	0.0208	0.0711	0.0411	0.245	0.0133	0.0374	0.5713	0	0	1	0.0115	0.0006	0.0045
5	4	ment	1.0	1.0	0.0	-0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0169	0.0132	0.1044	0.0252	0.1028	0.0081	0.0504	0.696	0	0	1	0.0	0.0	0.0
5	5	,	0.932	0.864	0.068	-0.1093	0.0528	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0375	1.0	0.0	0.0	0.0	0.0	0.0	0.1448	0.0	-0.0	0.0	0.0281	0.1563	0.079	0.2036	0.0193	0.0576	0.4561	0	0	1	0.0	-0.0	0.0
5	6	▁elle	0.7228	0.998	-0.2751	0.4653	1.1961	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.1896	2.0	0.0	0.0	0.0011	0.0086	0.0919	0.1708	0.0929	0.0005	0.0232	0.0393	0.2637	0.0989	0.2218	0.0251	0.0542	0.297	0	1	1	2.6415	0.003	9.0533
5	7	▁n	0.8973	0.7452	0.1521	-0.268	0.081	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0654	2.0	0.0	0.0	0.0	0.0027	0.0048	0.0081	0.0005	0.0002	0.0002	0.042	0.1861	0.0703	0.2942	0.0293	0.0318	0.3464	0	0	1	0.0513	0.0202	0.0072
5	8	'	0.9995	0.9993	0.0002	-0.0002	0.0001	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0038	0.0	0.0	0.0316	0.2072	0.0449	0.1592	0.0187	0.0298	0.5088	0	0	1	0.0	0.0	0.0
5	9	a	0.9788	0.9342	0.0445	-0.0672	0.0424	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	0.0	0.0	0.0	0.0001	0.0	0.0014	0.0908	0.0394	0.1844	0.0653	0.3116	0.0268	0.0188	0.3538	0	0	1	2.0228	0.264	0.0025
5	10	▁pas	0.8181	0.8617	-0.0437	0.075	0.023	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0033	2.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0008	0.0	0.0328	0.1513	0.0405	0.2409	0.0217	0.0163	0.4965	0	0	1	-0.0	0.0	0.0309
5	11	▁de	0.9526	0.747	0.2056	-0.3507	0.2402	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.1626	1.0	0.0	-0.0	0.0	0.0	0.0	0.0012	0.01	0.0003	0.0	0.0351	0.1438	0.0495	0.3004	0.0235	0.0151	0.4326	0	0	1	1.1205	0.0	2.5598
5	12	▁signal	0.9776	0.9968	-0.0192	0.028	0.0419	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0031	0.0531	0.0	0.0	0.0284	0.1525	0.042	0.2548	0.0211	0.0152	0.486	0	0	1	0.1406	1.2349	0.039
5	13	▁ici	0.9002	0.7454	0.1548	-0.2723	0.0836	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0697	1.0	0.0	-0.0	0.0	0.0	0.0001	0.0075	0.005	0.0236	0.0025	0.0229	0.1171	0.0362	0.1916	0.0155	0.0163	0.6005	0	0	1	0.004	0.2657	0.0049
5	14	▁dans	0.284	0.5778	-0.2938	1.0247	0.1818	0.1822	1.0	0.1822	1.0	0.1822	1.0	0.1822	2.0	0.1822	2.0	0.0	0.0	0.0	0.0	0.0306	0.088	0.1505	0.0079	0.0004	0.0292	0.1009	0.0286	0.2726	0.0182	0.0138	0.5368	0	0	1	0.0	0.0	2.6442
5	15	▁la	0.998	0.9989	-0.0009	0.0013	0.0004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0028	0.0181	0.0401	0.0092	0.0301	0.2102	0.0255	0.2756	0.0177	0.014	0.4269	0	0	1	-0.0	-0.0	0.3883
5	16	▁jung	0.9998	0.9999	-0.0	0.0001	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0001	0.0046	0.0037	0.0005	0.0001	0.0346	0.2488	0.0265	0.3387	0.0191	0.0129	0.3194	0	0	1	0.0	0.0	0.0
5	17	le	1.0	1.0	-0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0007	0.0	0.0149	0.0812	0.0167	0.1403	0.0088	0.0202	0.7179	0	0	1	-0.0	-0.0	-0.0
5	18	.	0.9883	0.9965	-0.0082	0.0119	0.0068	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	-0.0	-0.0	0.0001	0.2397	0.0457	0.0025	0.0	0.0273	0.1567	0.0471	0.1233	0.0178	0.0179	0.6099	0	0	1	0.0	0.0	0.0
5	19	</s>	0.9986	0.9974	0.0012	-0.0017	0.0008	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.055	0.0939	0.0016	0.0	-0.0	-0.0	0.0225	0.2213	0.0404	0.0901	0.0124	0.0147	0.5985	0	0	1	-0.0	-0.0	0.0
6	0	fr_XX	1.0	1.0	-0.0	0.0	-0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0001	1.2555	0.0515	0.036	0.0258	0.0275	0.0394	0.0454	0.529	0.1199	0.2555	0.0503		0.0	0	0	0	0.0486	0.1286	0.7936
6	1	▁Et	0.8229	0.8208	0.0021	-0.0036	0.0071	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0004	2.0	0.0	-0.0	-0.0	0.0	0.0042	0.5688	0.1285	0.0164	0.0102	0.0572	0.2497	0.1456	0.3206	0.0381	0.1888	0.0	0	0	0	0.0726	0.0006	0.0
6	2	▁quand	0.9807	0.9883	-0.0076	0.0112	0.003	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0002	0.0075	0.0013	0.0043	0.0162	0.0124	0.0401	0.1374	0.105	0.3097	0.028	0.0527	0.327	0	0	0	0.0	0.0	0.0
6	3	▁le	0.7662	0.5754	0.1908	-0.4131	0.0821	0.0	1.0	0.0	1.0	0.0	1.0	0.0808	1.0	0.0808	2.0	0.0	-0.0	0.0	-0.0	0.0	0.0119	0.0015	0.0005	0.318	0.0411	0.1504	0.0525	0.5804	0.0277	0.0118	0.136	0	0	0	0.0008	1.3032	0.0046
6	4	▁ballon	0.9945	0.9683	0.0261	-0.0384	0.0192	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	-0.0	0.0	0.0	0.0012	0.0307	0.0065	0.0035	0.0334	0.121	0.0447	0.469	0.0287	0.0219	0.2813	0	0	0	0.0088	0.8114	1.0051
