example_idx	token_idx	token	probability	contrast_prob	contrast_prob_diff	pcxmi	kl_divergence	kl_div_10	top_p_size_10	kl_div_30	top_p_size_30	kl_div_50	top_p_size_50	kl_div_70	top_p_size_70	kl_div_90	top_p_size_90	kl_div_l0	kl_div_l1	kl_div_l2	kl_div_l3	kl_div_l4	kl_div_l5	kl_div_l6	kl_div_l7	kl_div_l8	kl_div_l9	kl_div_l10	src_langtag_attr	src_ctx_attr	src_brk_attr	src_curr_attr	src_eos_attr	tgt_langtag_attr	tgt_ctx_attr	tgt_brk_attr	tgt_curr_attr	is_supporting_context	is_context_sensitive	is_example_correct	kl_div_l11
0	10	</s>	0.9814	0.003	0.9784	-8.3671	5.7413	5.815	1.0	5.815	1.0	5.815	1.0	5.815	1.0	5.815	1.0	0.0	0.0	0.0004	0.0244	0.4144	0.0621	0.0	0.0	0.0	0.088	19.107	0.0195	0.0545	0.0515	0.0825	0.0158	0.0358	0.0582	0.1573	0.5249	0	0	1	
1	0	fr_XX	1.0	0.0	1.0	-26.6793	18.4924	18.4904	1.0	18.4904	1.0	18.4904	1.0	18.4904	1.0	18.4904	1.0	9.2604	41.2803	45.3425	48.393	50.6738	53.2837	64.7346	68.7147	70.1774	71.5076											0	0	0	
1	1	▁-	0.9047	0.0	0.9047	-26.4447	17.7147	18.4301	1.0	18.4301	1.0	18.4301	1.0	18.4301	1.0	18.4301	1.0	0.0	-0.0	0.0	0.0003	0.5684	24.1247	81.6247	98.8266	100.9466	100.473		0.0301	0.1573	0.1313	0.2294	0.024	0.0219	0.1127	0.2934	0.0	0	0	0	
1	2	▁Quelle	0.6101	0.5108	0.0993	-0.2563	0.2403	0.0	1.0	0.0	1.0	0.0	1.0	0.126	3.0	0.2159	16.0	0.0	0.0002	0.0001	0.0	0.0027	0.0105	0.0556	0.0299	0.0103	6.8635		0.0397	0.166	0.0449	0.3479	0.0416	0.0186	0.0935	0.0883	0.1595	0	0	0	
1	3	▁tension	0.9849	0.9532	0.0317	-0.0472	0.0226	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0008	0.0997	1.139	3.3523	5.7204	0.8997	0.2847	0.0879	0.0		0.0311	0.1358	0.0221	0.3961	0.0255	0.0223	0.0389	0.0385	0.2897	0	0	0	
1	4	▁ils	0.0767	0.572	-0.4953	2.8984	1.0712	0.8743	1.0	1.1404	2.0	0.9413	3.0	1.0837	7.0	1.0756	45.0	0.0	0.0	0.0002	0.0007	0.1573	2.8354	3.5388	0.0095	0.0015	0.0128		0.0347	0.1764	0.0242	0.2231	0.0278	0.0139	0.0758	0.0561	0.368	0	1	0	
1	5	▁ont	0.3142	0.5557	-0.2415	0.8225	0.7122	0.0	1.0	0.0	1.0	0.3616	3.0	0.7033	6.0	0.7276	33.0	0.0	0.0001	0.0864	2.652	3.0112	0.3581	0.0007	0.0	0.0	0.0004		0.0369	0.1577	0.02	0.305	0.0338	0.0157	0.0716	0.0291	0.3302	0	0	0	
1	6	▁gard	0.1703	0.6631	-0.4927	1.9608	0.8865	0.9311	1.0	0.9311	1.0	0.9311	1.0	0.9311	2.0	0.9122	9.0	0.0	0.0029	0.1138	0.3373	2.0955	2.3584	0.5541	0.011	0.0105	0.6225		0.0308	0.1467	0.0165	0.3305	0.0412	0.0119	0.0594	0.0244	0.3386	0	0	0	
1	7	é	0.8075	0.9098	-0.1023	0.1721	0.0686	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0171	2.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0517	0.2911	1.0511		0.0163	0.0615	0.0123	0.1211	0.0137	0.0163	0.0354	0.0374	0.6861	0	0	0	
1	8	?	0.8007	0.988	-0.1873	0.3033	0.5004	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.501	2.0	-0.0	-0.0	-0.0	0.0	0.0003	0.0383	2.6414	0.0969	0.0621	0.0		0.0278	0.1289	0.0245	0.1124	0.0175	0.0229	0.2002	0.0527	0.4131	0	0	0	
1	9	</s>	0.9939	0.9438	0.0501	-0.0746	0.0424	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0002	0.0158	0.0981	0.0002	0.0	0.0	0.0	0.0		0.0217	0.101	0.0777	0.1185	0.0244	0.0198	0.0658	0.1398	0.4312	0	0	0	
2	0	fr_XX	1.0	0.0	1.0	-27.1202	18.7982	18.7967	1.0	18.7967	1.0	18.7967	1.0	18.7967	1.0	18.7967	1.0	9.2474	40.5441	43.9479	44.2721	47.1296	47.1829	51.8614	56.005	56.3817	71.5399	86.4721										0	0	1	
2	1	▁Comment	0.6647	0.0	0.6647	-32.1679	20.4559	22.704	1.0	22.704	1.0	22.704	1.0	22.4681	2.0	21.209	13.0	0.0	-0.0	0.0	0.0009	0.4091	3.1757	123.2499	120.0532	114.7712	131.9358	128.3406	0.0445	0.1157	0.085	0.3134	0.0261	0.0193	0.111	0.2852	0.0	0	0	1	
2	2	▁te	0.0484	0.2139	-0.1654	2.1429	1.6279	1.6835	1.0	1.5315	3.0	1.7852	4.0	1.5533	6.0	1.6499	10.0	-0.0	0.0	0.0003	0.0014	0.0141	2.0553	4.3849	0.4604	2.8375	7.8373	10.6166	0.0522	0.122	0.0497	0.2658	0.0265	0.0202	0.0823	0.0927	0.2887	0	0	1	
2	3	▁han	0.3694	0.9827	-0.6133	1.4114	2.1721	0.0	1.0	0.0	1.0	1.2937	3.0	1.9654	8.0	2.128	83.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0113	3.0285	2.3652	5.9053	0.0408	0.2163	0.0243	0.264	0.0243	0.0249	0.2346	0.0283	0.1426	0	0	1	
2	4	te	0.989	0.9883	0.0007	-0.001	0.0016	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0123	0.5618	0.0371	0.3147	0.0192	0.0899	0.0156	0.0939	0.0112	0.0353	0.1053	0.0483	0.5813	0	0	1	
2	5	-	0.9694	0.8793	0.0901	-0.1408	0.0844	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0718	1.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0003	0.5591	0.0611	0.0056	0.026	0.0808	0.0321	0.1158	0.0149	0.0261	0.1007	0.0873	0.5164	0	0	1	
2	6	t	0.9849	0.9951	-0.0102	0.0148	0.0539	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0017	0.042	0.0001	0.0129	0.0436	0.0114	0.0547	0.0081	0.0155	0.0571	0.0569	0.7397	0	0	1	
2	7	-	0.9887	0.9815	0.0072	-0.0105	0.0054	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0099	-0.0	-0.0	0.0152	0.0599	0.0128	0.0568	0.008	0.0165	0.0544	0.0413	0.7352	0	0	1	
2	8	elle	0.3907	0.9894	-0.5988	1.3406	3.3058	3.3173	1.0	3.3173	1.0	3.3173	1.0	3.3173	2.0	3.3173	2.0	-0.0	0.0	0.0	0.0	0.0	0.0001	0.0195	0.6647	0.0181	0.0318	0.2047	0.0121	0.06	0.0137	0.0482	0.0077	0.0188	0.0699	0.0488	0.7208	0	1	1	
2	9	?	0.1159	0.7785	-0.6627	2.7482	1.0765	1.0968	1.0	1.0968	1.0	1.0968	1.0	1.0968	1.0	1.0968	2.0	-0.0	0.0	0.0	0.0354	2.7932	0.444	0.2655	1.2335	2.2696	0.1419	14.3596	0.0269	0.0686	0.0326	0.0971	0.0152	0.0241	0.2604	0.0512	0.424	0	0	1	
2	10	</s>	0.9936	0.0372	0.9564	-4.7405	3.2658	3.2841	1.0	3.2841	1.0	3.2841	1.0	3.2841	1.0	3.2841	1.0	0.0	0.0	0.0002	0.0007	0.0139	0.0944	0.0	-0.0	-0.0	0.0	5.3622	0.0231	0.0705	0.0702	0.0838	0.0162	0.0163	0.0524	0.1402	0.5274	0	0	1	
3	0	fr_XX	1.0	0.0	1.0	-25.4368	17.6313	17.6095	1.0	17.6095	1.0	17.6095	1.0	17.6095	1.0	17.6095	1.0	9.2258	38.979	41.7081	42.1793	45.4728	48.0226	52.7563	53.6772	53.0054	64.9042											0	0	1	
3	1	▁Il	0.0531	0.0	0.0531	-25.9857	19.209	21.2066	1.0	21.2066	1.0	20.6511	2.0	20.3609	3.0	19.8177	10.0	0.0	0.0	0.0	0.0014	2.1728	17.2572	143.1747	142.7014	163.7278	157.8278		0.0404	0.1179	0.0748	0.2754	0.0438	0.0165	0.109	0.3222	0.0	0	1	1	
3	2	▁n	0.7058	0.3325	0.3733	-1.086	0.5077	0.3409	1.0	0.3409	1.0	0.3409	1.0	0.4373	1.0	0.4494	3.0	0.0012	0.0037	0.006	0.0023	0.003	0.0312	1.4846	3.432	0.0086	0.6337		0.0408	0.1178	0.0536	0.2941	0.0289	0.0158	0.088	0.1293	0.2317	0	0	1	
3	3	'	0.9926	0.9887	0.0039	-0.0057	0.0034	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0873	0.0	-0.0		0.0279	0.0971	0.0354	0.1954	0.0197	0.0272	0.0756	0.0956	0.4261	0	0	1	
3	4	a	0.8468	0.3199	0.527	-1.4046	0.8779	0.9516	1.0	0.9516	1.0	0.9516	1.0	0.9516	1.0	0.8518	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0323	3.808	0.377		0.0324	0.1125	0.0313	0.2892	0.0237	0.0163	0.0678	0.1104	0.3164	0	0	1	
3	5	▁jamais	0.8388	0.0255	0.8133	-5.0396	2.7923	3.128	1.0	3.128	1.0	3.128	1.0	3.128	1.0	2.7833	2.0	-0.0	-0.0	0.0	0.0	0.0001	0.0	0.0065	0.0513	0.776	14.8388		0.0309	0.0898	0.0397	0.2333	0.024	0.015	0.0734	0.1109	0.3829	0	0	1	
3	6	▁bou	0.997	0.9938	0.0032	-0.0046	0.0027	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0	0.0016	0.021	0.6285	0.0011	0.0001	0.0013	0.0436	0.0826		0.0397	0.1313	0.0322	0.3859	0.0282	0.0078	0.036	0.0533	0.2855	0	0	1	
3	7	gé	0.9989	0.9997	-0.0009	0.0012	0.0008	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0004		0.0124	0.0418	0.0099	0.1021	0.0097	0.0229	0.0278	0.0456	0.7277	0	0	1	
3	8	.	0.9594	0.9042	0.0552	-0.0856	0.0395	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0033	0.0133	0.0	0.0		0.0245	0.0841	0.0511	0.1057	0.0184	0.0178	0.0987	0.1382	0.4615	0	0	1	
3	9	</s>	0.9939	0.0019	0.992	-9.0671	6.2424	6.2711	1.0	6.2711	1.0	6.2711	1.0	6.2711	1.0	6.2711	1.0	0.0	0.0014	0.0061	0.1182	0.3026	0.5416	0.0165	0.003	0.0014	6.8436		0.0211	0.0585	0.0767	0.0702	0.0159	0.015	0.0643	0.2098	0.4685	0	0	1	
4	0	fr_XX	1.0	0.0	1.0	-23.6419	16.3872	16.3828	1.0	16.3828	1.0	16.3828	1.0	16.3828	1.0	16.3828	1.0	17.3007	42.3441	43.7489	39.2387	40.2815	43.0827	51.0137	51.5847	53.6135	66.6707	83.7047										0	0	1	67.5755
4	1	▁Quand	0.4704	0.0009	0.4695	-9.05	5.4112	6.9889	1.0	6.9889	1.0	6.5759	2.0	6.2262	4.0	5.7353	29.0	0.0	-0.0	0.0001	0.0506	0.7504	2.5099	0.145	1.6271	1.2838	13.653	33.7997	0.0375	0.1422	0.1	0.2914	0.0267	0.0223	0.1086	0.2713	0.0	0	0	1	16.8075
4	2	▁elles	0.035	0.9473	-0.9123	4.7577	3.1283	3.1983	1.0	3.1983	1.0	3.1983	1.0	3.1983	1.0	3.1983	1.0	0.0001	0.015	0.0784	0.3845	0.7325	3.1333	1.0565	0.0098	0.6858	5.2561	4.2536	0.0352	0.1429	0.04	0.1337	0.0213	0.0272	0.183	0.076	0.3406	0	1	1	3.1974
4	3	▁ne	0.4936	0.6179	-0.1243	0.324	0.0485	0.0	1.0	0.0	1.0	0.0413	2.0	0.0413	2.0	0.0413	2.0	0.0	0.0	0.0003	0.4756	2.8821	7.6496	4.1025	0.0058	0.0007	0.2001	0.0001	0.0337	0.1275	0.0427	0.2661	0.0248	0.0159	0.0867	0.0574	0.3453	0	0	1	1.0743
4	4	▁sont	0.7792	0.6961	0.0831	-0.1627	0.1036	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0621	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0389	4.0106	1.1139	2.1469	0.0293	0.0962	0.048	0.246	0.0253	0.0179	0.0949	0.0539	0.3884	0	0	1	0.0051
4	5	▁même	0.4103	0.7724	-0.3622	0.9129	0.3151	0.0	1.0	0.0	1.0	0.3006	2.0	0.3006	2.0	0.3189	3.0	0.0	0.0514	0.2942	2.7837	3.5253	6.0711	0.8308	3.0984	3.2953	0.0068	0.5198	0.0258	0.0841	0.0284	0.1656	0.021	0.0179	0.0501	0.0531	0.5541	0	0	1	0.0025
4	6	▁pas	0.9869	0.9651	0.0219	-0.0323	0.0097	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0	-0.0	0.0	0.0001	0.0123	0.078	0.0087	0.0	0.0	0.0	0.0224	0.087	0.025	0.1543	0.0194	0.0197	0.0486	0.0428	0.581	0	0	1	-0.0
4	7	▁parties	0.9303	0.8959	0.0344	-0.0544	0.0115	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0102	1.0	-0.0	-0.0	-0.0	0.0	0.0006	1.033	0.0578	0.0008	0.0002	0.36	0.0369	0.0161	0.0651	0.0163	0.1312	0.0137	0.0165	0.0485	0.0421	0.6505	0	0	1	0.0029
4	8	▁de	0.0658	0.544	-0.4782	3.0476	0.5644	0.6154	1.0	0.6154	1.0	0.6154	1.0	0.6154	1.0	0.5774	3.0	0.0	0.0	0.0	0.0001	0.0009	0.5014	3.1397	0.003	0.0007	0.0002	0.0001	0.0159	0.0717	0.0219	0.118	0.0177	0.0177	0.0406	0.0391	0.6574	0	0	1	0.0129
4	9	▁la	0.0552	0.7193	-0.6641	3.7035	1.0266	1.0253	1.0	1.0253	1.0	1.0253	1.0	1.0253	1.0	1.0253	1.0	0.0	0.0	0.0	0.0	0.0005	0.0043	0.1854	0.3942	0.0005	0.0107	5.4384	0.021	0.0697	0.0157	0.1948	0.0183	0.0106	0.03	0.0449	0.5949	0	0	1	12.1574
4	10	▁prison	0.9987	0.999	-0.0003	0.0005	0.0003	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0007	0.5278	0.0693	0.0015	0.0	0.001	0.0	0.0252	0.0929	0.0135	0.2707	0.0167	0.0127	0.0617	0.0237	0.4829	0	0	1	0.0014
4	11	.	0.9711	0.9702	0.0009	-0.0013	0.0221	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0	0.0	0.0	0.0096	1.6322	0.0084	0.0001	0.0001	0.0	0.0	0.0325	0.3638	0.0226	0.0525	0.014	0.0095	0.1715	0.0504	0.2832	0	0	1	0.0
4	12	</s>	0.9965	0.7073	0.2891	-0.4944	0.3402	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.3391	1.0	0.0	0.0006	0.0081	0.3611	0.198	0.0004	-0.0	-0.0	0.0	-0.0	0.0	0.0234	0.1186	0.056	0.0814	0.0148	0.0171	0.05	0.1279	0.5108	0	0	1	0.079
5	0	fr_XX	1.0	0.0	1.0	-29.0582	20.1415	20.1403	1.0	20.1403	1.0	20.1403	1.0	20.1403	1.0	20.1403	1.0	9.2324	41.4694	45.5544	48.1687	50.1757	52.822	61.4086	62.6576	61.3776	74.3088	96.8962										0	0	1	83.1437
5	1	▁App	0.7543	0.0046	0.7497	-7.356	5.5303	5.3739	1.0	5.3739	1.0	5.3739	1.0	5.3739	1.0	5.6376	2.0	0.0	-0.0	0.0002	0.007	0.0115	0.0042	0.0027	0.0223	2.6491	25.6721	40.5656	0.0522	0.1514	0.0549	0.4326	0.0228	0.0112	0.0514	0.2236	0.0	0	0	1	39.6756
5	2	ar	0.9941	0.9745	0.0195	-0.0286	0.0131	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0001	0.0	0.0	0.0	0.0241	0.0271	0.0857	0.0254	0.2581	0.0128	0.0158	0.059	0.0593	0.4568	0	0	1	0.001
5	3	em	1.0	0.9999	0.0	-0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0028	0.7082	0.2915	0.0221	0.0762	0.0212	0.1892	0.0123	0.0149	0.0523	0.0545	0.5573	0	0	1	2.5194
5	4	ment	0.9999	0.9995	0.0004	-0.0006	0.0002	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0003	0.6743	0.0003	0.0	0.0	0.0139	0.0663	0.0132	0.1106	0.0084	0.0269	0.0577	0.046	0.6569	0	0	1	0.0
5	5	,	0.972	0.9892	-0.0173	0.0254	0.0255	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.4859	0.0852	0.0001	0.0	0.0	0.0	0.0337	0.1883	0.0434	0.1637	0.0166	0.0205	0.0866	0.0977	0.3495	0	0	1	0.0877
5	6	▁elle	0.0599	0.4203	-0.3603	2.81	0.5371	0.0	1.0	0.0	1.0	0.0	1.0	0.3253	1.0	0.49	4.0	0.0	0.0007	0.0013	0.003	0.0075	1.0105	0.0408	0.0288	0.0205	0.9418	2.6838	0.0294	0.1831	0.0289	0.138	0.0188	0.0237	0.2018	0.0668	0.3094	0	1	1	0.0319
5	7	▁n	0.6606	0.7221	-0.0615	0.1285	0.0696	0.0	1.0	0.0	1.0	0.0	1.0	0.0014	2.0	0.0014	2.0	0.0	0.0	0.0008	0.0651	0.1768	0.0002	0.0	0.0001	0.0	0.0012	0.1018	0.0454	0.1496	0.0264	0.2952	0.0317	0.0101	0.0502	0.0399	0.3516	0	0	1	0.0036
5	8	'	0.9977	0.9961	0.0015	-0.0022	0.0015	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0	0.0	-0.0	0.0	0.0393	0.2304	0.0218	0.1554	0.0172	0.0171	0.09	0.037	0.3917	0	0	1	0.0
5	9	é	0.0333	0.6259	-0.5926	4.2304	1.0469	1.2152	1.0	1.2152	1.0	1.2152	1.0	1.2152	1.0	1.0695	3.0	0.0	0.0	0.0	0.0001	0.0006	0.0041	0.048	0.1938	0.1801	0.0075	0.0016	0.0516	0.2094	0.0224	0.376	0.0302	0.0061	0.0258	0.0187	0.2598	0	0	1	0.2282
5	10	met	0.9838	0.9987	-0.0149	0.0216	0.0305	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0001	1.8497	0.0316	0.113	0.0151	0.216	0.0212	0.0117	0.0305	0.0255	0.5354	0	0	1	0.0624
5	11	▁aucun	0.6176	0.4126	0.2049	-0.5818	0.122	0.0982	1.0	0.0982	1.0	0.0982	1.0	0.0982	2.0	0.0982	2.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.2179	1.0947	0.0496	0.0359	0.1	0.0214	0.1776	0.0215	0.0123	0.042	0.0428	0.5465	0	0	1	0.974
5	12	▁signal	0.9719	0.9879	-0.0159	0.0235	0.0196	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0002	0.0019	1.3868	0.8771	0.0305	0.0006	0.0001	0.0009	0.0	0.0283	0.1138	0.0168	0.2424	0.0159	0.0133	0.0426	0.0242	0.5026	0	0	1	0.0003
5	13	▁ici	0.7623	0.7509	0.0113	-0.0216	0.1464	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.1329	4.0	0.0	0.0	0.0	0.0001	0.0924	3.5507	5.2747	0.4718	0.8467	5.3831	5.315	0.0332	0.0971	0.0149	0.2046	0.0256	0.0154	0.0317	0.0234	0.5541	0	0	1	0.0
5	14	,	0.6479	0.5394	0.1085	-0.2644	0.0855	0.0	1.0	0.0	1.0	0.0	1.0	0.0391	2.0	0.0391	2.0	-0.0	0.0	0.0008	0.0045	0.1372	1.8918	0.0075	0.0003	0.0001	0.0	0.0	0.0286	0.0822	0.0123	0.1737	0.0176	0.0127	0.0481	0.033	0.5916	0	0	1	0.4622
5	15	▁dans	0.9925	0.9903	0.0022	-0.0032	0.0008	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0003	0.0009	0.0199	0.131	0.6929	0.0215	0.0003	0.0039	0.0001	0.0	0.0353	0.1056	0.0141	0.2935	0.0239	0.012	0.0334	0.0239	0.4584	0	0	1	0.0
5	16	▁la	0.9958	0.9948	0.001	-0.0014	0.0003	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.001	0.2714	1.7349	0.2335	0.1197	0.0	0.0	0.0327	0.0886	0.0143	0.2885	0.0195	0.0117	0.0295	0.0194	0.4957	0	0	1	0.0
5	17	▁jung	0.9948	0.9932	0.0016	-0.0023	0.0008	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	0.0	0.0	0.0	0.0013	0.0285	0.2858	0.0139	0.0005	0.0	0.0007	0.0418	0.1045	0.0111	0.4096	0.0245	0.008	0.019	0.0124	0.3691	0	0	1	0.0051
5	18	le	0.9998	0.9993	0.0005	-0.0007	0.0002	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0005	0.0483	0.0	0.0	0.0163	0.0593	0.0061	0.132	0.0107	0.0264	0.0458	0.0169	0.6864	0	0	1	0.0
5	19	.	0.9973	0.9958	0.0014	-0.0021	0.0011	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0	-0.0	-0.0	0.0	0.0003	0.1478	0.0767	0.0001	0.0	0.0	0.0	0.0277	0.1946	0.0238	0.0983	0.0161	0.0145	0.0598	0.045	0.5204	0	0	1	0.0
5	20	</s>	0.9977	0.2842	0.7135	-1.8117	1.2524	1.2536	1.0	1.2536	1.0	1.2536	1.0	1.2536	1.0	1.2536	1.0	0.0	0.0007	0.0035	0.1245	0.0604	0.0	0.0	-0.0	-0.0	-0.0	0.0005	0.028	0.174	0.037	0.0753	0.0138	0.0134	0.0371	0.0993	0.522	0	0	1	5.6736
