src_en	tgt_fr	src_en_ctx	tgt_fr_ctx	src_en_with_tags	orig_fr	orig_fr_with_tags
Afterwards, it came under new management.	Ensuite, elle a été placée sous une nouvelle direction.	I'll show Zoe to her room. Then we meet for Midday Gathering. Let's go. Miss Robichaux's Academy for Exceptional Young Ladies was established as a premiere girls' finishing school in 1790. During the Civil War, it was converted into a military hospital.<brk> Afterwards, it came under new management.		Afterwards, <p>it</p> came under new management.	Après cela, elle a été confiée à une nouvelle direction.	Après cela, <p>elle</p> a été confiée à une nouvelle direction.
If they do, they don't brag about it as loudly.	Si elles le font, elles ne s'en vantent pas aussi fort.	She wasn't you. I gotta go. I mean, you gotta admit, it was pretty rad. I locked a vampire in her dorm with an invisible seal. I mean, how many newbie witches have that on their resume?<brk> If they do, they don't brag about it as loudly.		If <p>they</p> do, they don't brag about it as loudly.	Si elles l'ont, elles ne s'en vantent pas aussi bruyamment.	Si <p>elles</p> l'ont, elles ne s'en vantent pas aussi bruyamment.
Their tears ran of blood, and they had snakes for hair.	Leur sang coulait, et ils avaient des serpents pour les cheveux.	like the furies coming down to punish orestes. You have no idea what I'm talking about, do you? Was...washe theguy who stabbed out his eyes? God,that's oedipus, you dumbass! The furies are deities of vengeance.<brk> Their tears ran of blood, and they had snakes for hair.		Their tears ran of blood, and <p>they</p> had snakes for hair.	Leurs larmes étaient en sang, et elles avaient des serpents à la place des cheveux.	Leurs larmes étaient en sang, et <p>elles</p> avaient des serpents à la place des cheveux.
Well, they hate it when a kid's used like that.	Eh bien, elles détestent ça quand un gamin est utilisé comme ça.	You didn't find anything in my room, did you? Just tell me what you know about the riot. Which one of you guys killed my wife? What makes you think it was one of us? How are the women doing after this morning?<brk> Well, they hate it when a kid's used like that.		Well, <p>they</p> hate it when a kid's used like that.	Et bien, elles détestent quand un enfant est utilisé comme ça.	Et bien, <p>elles</p> détestent quand un enfant est utilisé comme ça.
I've decided that this year, it should hang on your tree.	J'ai décidé que cette année, il devrait être accroché à votre arbre.	No questions asked. You swear to me? I swear. I'd like to present you all with this star, this... beacon... of Bethlehem. It was handcrafted for the Archdiocese of Boston.<brk> I've decided that this year, it should hang on your tree.		I've decided that this year, <p>it</p> should hang on your tree.	J'ai décidé que cette année, elle irait sur votre sapin.	J'ai décidé que cette année, <p>elle</p> irait sur votre sapin.
I was picking his things and it landed on my head.	Je ramassais ses affaires et elle a atterri sur ma tête.	It's best if you come with us. What a pity! You've got a cut! The dove! She threw it out the window.<brk> I was picking his things and it landed on my head.		I was picking his things and <p>it</p> landed on my head.	Je ramassais des affaires et il m'est tombé sur la tête.	Je ramassais des affaires et <p>il</p> m'est tombé sur la tête.
They find out you stole it, they would...	Elles s'aperçoivent que tu les as volées, elles...	Let's get started. Helping you find your happiness, saving you... That's what's gonna save me. This isn't your pixie dust, is it? Well, when you think about it, does anyone really own pixie dust? The fairies are quite proprietary about it.<brk> They find out you stole it, they would...		<p>They</p> find out you stole it, they would...	Si elles l'apprennent...	Si <p>elles</p> l'apprennent...
I'm really good at fixing it when it freezes.	Je suis vraiment doué pour réparer quand il gèle.	Okay, okay. Calm down. First of all, you did the right thing by hiding under this table. Secondly, your man is here. I'm gonna take care of this for us. I've been playing Xbox for years.<brk> I'm really good at fixing it when it freezes.		I'm really good at fixing <p>it</p> when it freezes.	Je suis très doué pour la réparer quand elle plante.	Je suis très doué pour <p>la</p> réparer quand elle plante.
They meet a nice guy, maybe they get more.	Elles rencontrent un type sympa, elles en ont peut-être plus.	I don't know who's behind it, and I don't want to. My girls... they have good life. They make good money. Legal money. They get nice clothes, apartment.<brk> They meet a nice guy, maybe they get more.		<p>They</p> meet a nice guy, maybe they get more.	Elles rencontrent des mecs sympas, elles peuvent même avoir plus.	<p>Elles</p> rencontrent des mecs sympas, elles peuvent même avoir plus.
- Mmm. - What, you didn't... Know it was missing?	- Quoi, tu ne savais pas... qu'elle avait disparu?	- Ah, yes, the vehicle that you mentioned on the phone. You see, it makes a great deal of financial sense for me to buy a car of that price and then to ship it home. I'm head of the division of economic affairs, so you'll forgive me if I take a little pride in knowing how to strike a bargain. I'm not sure how you're gonna feel about your bargain now. That's my car?<brk> - Mmm. - What, you didn't... Know it was missing?		- Mmm. - What, you didn't... Know <p>it</p> was missing?	Vous ne saviez pas qu'elle avait disparu ?	Vous ne saviez pas qu'<p>elle</p> avait disparu ?
Especially if it has fresh mozzarella.	Surtout si elle a de la mozzarella fraîche.	Yeah, that's... Real admirable. You know what? I'm gonna run that 5k, and when I win, I'll be celebrating in my poolside cabana with a big ol' Denver omelet to keep me company. A Denver omelet might actually be better company.<brk> Especially if it has fresh mozzarella.		Especially if <p>it</p> has fresh mozzarella.	Surtout si elle a de la mozzarella fraiche.	Surtout si <p>elle</p> a de la mozzarella fraiche.
Yes, it's in the infirmary already.	Oui, il est déjà dans l'infirmerie.	Rose, it'd be good it this week you could pay her special attention. - Look after her a lot. -Okay. Any questions? Have we got her report?<brk> Yes, it's in the infirmary already.		Yes, <p>it</p>'s in the infirmary already.	Oui, il est à l'infirmerie.	Oui, <p>il</p> est à l'infirmerie.
And that it ran off before we all got a go.	Et qu'il s'est enfui avant qu'on ait tous un essai.	True. Did you mention we stole a horse? Yes. Good. You mustn't tell lies.<brk> And that it ran off before we all got a go.		And that <p>it</p> ran off before we all got a go.	Et qu'il s'est sauvé avant qu'on ait tous fait un tour.	Et qu'<p>il</p> s'est sauvé avant qu'on ait tous fait un tour.
Yeah, they're graphic.	Oui, elles sont crues.	The dancer guy? - I don't know why I said that. - I don't either. Folks, we need you to look at some photographs, but I will warn you, they are a little bit graphic. Oh, heavens. I apologise.<brk> Yeah, they're graphic.		Yeah, <p>they</p>'re graphic.	Ouais, elles sont explicites.	Ouais, <p>elles</p> sont explicites.
Look, I don't know about any of that, but here it ain't.	Je ne sais rien de tout ça, mais il n'est pas là.	I don't know. And you will, bro. No. Truth is, I'm a pariah in the financial world. My name is ruined.<brk> Look, I don't know about any of that, but here it ain't.		Look, I don't know about any of that, but here <p>it</p> ain't.	Ecoute, je ne sais rien à propos de ça, mais ici il ne l'est pas.	Ecoute, je ne sais rien à propos de ça, mais ici <p>il</p> ne l'est pas.
They say they didn't leave the house until school next morning.	Ils disent qu'ils n'ont pas quitté la maison avant l'école.	Miller - family. Who are they and where were they? Beth had Chloe, their eldest daughter, when she was 15. Mark was 17. Mum and daughter were at home watching telly.<brk> They say they didn't leave the house until school next morning.		<p>They</p> say they didn't leave the house until school next morning.	Elles  ont dit qu'elles n'avaient pas quitté la maison avant le matin.	<p>Elles</p>  ont dit qu'elles n'avaient pas quitté la maison avant le matin.
But it burnt down.	Mais il a brûlé.	This clever lady has contrived a most intricate problem. I have been admiring the house. I thank you. It was built by my husband's greatgrandfather. There was an Elizabethan manor before.<brk> But it burnt down.		But <p>it</p> burnt down.	Mais il a brûlé.	Mais <p>il</p> a brûlé.
Unlike solo vigilantes, they're working in concert and they're planning and executing coordinated attacks.	Contrairement aux justiciers en solo, elles travaillent en concert et elles préparent et mènent des attaques coordonnées.	We need to give the profile. We believe that these unsubs are two women who are killing people convicted of heinous crimes. You son of a bitch! You son of a bitch! He'll be out in 10 years.<brk> Unlike solo vigilantes, they're working in concert and they're planning and executing coordinated attacks.		Unlike solo vigilantes, <p>they</p>'re working in concert and they're planning and executing coordinated attacks.	A la différence des vengeurs solitaires, elles travaillent de concert et elles prévoient et exécutent des attaques coordonnées.	A la différence des vengeurs solitaires, <p>elles</p> travaillent de concert et elles prévoient et exécutent des attaques coordonnées.
Because, believe me, they won't last two days in a Mexican prison.	Parce que, croyez-moi, elles ne dureront pas deux jours dans une prison mexicaine.	Come on, man. This is your chance to be the hero. - I don't know, David. - Don't do it for me. Don't even do it for you. Do it for the girls. For Rose and Casey.<brk> Because, believe me, they won't last two days in a Mexican prison.		Because, believe me, <p>they</p> won't last two days in a Mexican prison.	Elles tiendront pas deux jours dans une prison mexicaine.	<p>Elles</p> tiendront pas deux jours dans une prison mexicaine.
Now it's going into the stomach.	Maintenant, elle va dans l'estomac.	There's no need. But if you like, we can take another look. See... Now we're in the esophagus. It's going further... It's not yet in the stomach. Look, this opening is the entry to the stomach.<brk> Now it's going into the stomach.		Now <p>it</p>'s going into the stomach.	Maintenant elle entre dans l'estomac.	Maintenant <p>elle</p> entre dans l'estomac.
But it has to.	Mais il le doit.	Dr. Gourse? You talked to Dr. Gourse? Yes. He said Lexy is too sick for this to work. This man's blood won't do anything.<brk> But it has to.		But <p>it</p> has to.	Mais il le doit.	Mais <p>il</p> le doit.
If it didn't poison her, why prepare it and only drink half a cup?	S'il ne l'empoisonnait pas, pourquoi le préparer et ne boire qu'une demi tasse?	What if she knocked it on the way to the pool? A suicidal woman carefully replaces a damaged pot before lowering herself silently into the water? No. The tea. The tea has to hold the key.<brk> If it didn't poison her, why prepare it and only drink half a cup?		If <p>it</p> didn't poison her, why prepare it and only drink half a cup?	S'il ne l'a pas empoisonné, pourquoi le préparer et n'en boire que la moitié ?	S'<p>il</p> ne l'a pas empoisonné, pourquoi le préparer et n'en boire que la moitié ?
But by the next day, it had burned out.	Mais le jour suivant, il avait brûlé.	Hey! Help! I'm here! I'm still here! All the other students were killed in the crash. I stayed by the fire as long as I could.<brk> But by the next day, it had burned out.		But by the next day, <p>it</p> had burned out.	Le lendemain, il était éteint.	Le lendemain, <p>il</p> était éteint.
No, they're just pretending to be so that all of you will like them!	Non, elles font semblant d'être pour que vous les aimiez toutes!	Looks like you won't be getting your lesbian after all. Yeah, we'll see. Can I just say something? I know that you all think you're being all open-minded by electing these two homecoming queens, but I think you all should know they're not really lesbians. Lauren, give me the microphone.<brk> No, they're just pretending to be so that all of you will like them!		No, <p>they</p>'re just pretending to be so that all of you will like them!	Non, elles prétendent juste l'être Pour être aimées par vous tous !	Non, <p>elles</p> prétendent juste l'être Pour être aimées par vous tous !
I don't think it will kill us until it knows who we are!	Je ne crois pas qu'il nous tuera jusqu'à ce qu'il sache qui nous sommes!	I just don't want those charred bones I saw to be disappointed in me! I... I know what I have to do now! And this is the job we chose. Help me! Put on your hood. As far forward as you can... So that your face is hidden from it.<brk> I don't think it will kill us until it knows who we are!		I don't think it will kill us until <p>it</p> knows who we are!	Tant qu'il ne sait pas qui on est, il ne devrait pas nous tuer !	Tant qu'<p>il</p> ne sait pas qui on est, il ne devrait pas nous tuer !
May it serve you well.	Qu'elle te soit utile.	Although that one there is not bad. That's not an Elf maid. That's funny. This is Orcrist, the Goblin-cleaver. A famous blade... forged by the High Elves of the West, my kin.<brk> May it serve you well.		May <p>it</p> serve you well.	Puisse-t-elle bien vous servir.	Puisse-t-<p>elle</p> bien vous servir.
String theory has always predicted they exist.	La théorie des cordes a toujours prédit qu'elles existent.	What if something attacks me? Well, you'll just have to be faster than one of us. That creature just got a hell of a lot harder to find. What is this place? Must be some kind of temporal junction.<brk> String theory has always predicted they exist.		String theory has always predicted <p>they</p> exist.	La théorie a toujours prédit qu'elles existent.	La théorie a toujours prédit qu'<p>elles</p> existent.
And then I just came in, it just wasn't there no more.	Et puis je suis entré, elle n'était plus là.	Now's a good time to set some ground rules about coming and going. Oh, you know what? That reminds me. Has somebody removed a box of vintage pornography? I had been looking after it, you see.<brk> And then I just came in, it just wasn't there no more.		And then I just came in, <p>it</p> just wasn't there no more.	Et là je regardé...j'étais venu, et elle...elle n'était plus là, tu saisis ?	Et là je regardé...j'étais venu, et <p>elle</p>...elle n'était plus là, tu saisis ?
Never know when they'll need or use it.	Ils n'ont jamais su quand ils en auraient besoin.	There has got to be something that we can do. This is an Oval Office nightmare now. What do the Russians want with L.A.'s nuclear detection system? The Cold War's heating up. Friend or foe, nations collect intel on each other.<brk> Never know when they'll need or use it.		Never know when <p>they</p>'ll need or use it.	Sans savoir quand elles en auront besoin ou quand elles les utiliseront.	Sans savoir quand <p>elles</p> en auront besoin ou quand elles les utiliseront.
- No, I don't think so. I don't think they can do my job.	- Non, je ne pense pas qu'elles puissent faire mon travail.	And that's what happened. What does women's lib mean to you? I think they have a lot of good points. Extremely fine points. The abortion laws are ridiculous. The fact that, uh, unequal pay... that's ridiculous. - They're not after your job?<brk> - No, I don't think so. I don't think they can do my job.		- No, I don't think so. I don't think <p>they</p> can do my job.	Non, je ne pense pas qu'elles puissent faire mon job.	Non, je ne pense pas qu'<p>elles</p> puissent faire mon job.
The boy knows where it is.	Le garçon sait où il est.	Keep it under your bed. 'That's 11 now dead on the Shetland Island of Fetlar.' We need a sample of the vaccine. There's a man in Sheffield, a scientist called Donaldson, get it to him. It's me. The manuscript exists.<brk> The boy knows where it is.		The boy knows where <p>it</p> is.	Le garçon sait où il est.	Le garçon sait où <p>il</p> est.
I didn't know it was missing.	Je ne savais pas qu'il avait disparu.	She knew about the tunnels. The King used them to bring his companions in and out of the palace. Seems I'm not the only one who grew tired of his partnership with you. All right, Your Majesty. You're going to help me find the Knave's heart.<brk> I didn't know it was missing.		I didn't know <p>it</p> was missing.	Je ne savais pas qu'il avait disparu.	Je ne savais pas qu'<p>il</p> avait disparu.
It's just they've fallen quite randomly, you'd really notice if one was gone?	Elles sont tombées au hasard.	Of course, you'll have noticed the money. The Sultanis - a base currency... ..for the heathen ruler of the east. You see, this is how I allow my soldiers to prove their loyalty to me. I toss these Sultanis on the ground before them. And, do you know, the coins are never, ever touched?<brk> It's just they've fallen quite randomly, you'd really notice if one was gone?		It's just <p>they</p>'ve fallen quite randomly, you'd really notice if one was gone?	C'est juste qu'elles tombent tout à fait aléatoirement, vous remarqueriez réellement, s'il en manquait une ?	C'est juste qu'<p>elles</p> tombent tout à fait aléatoirement, vous remarqueriez réellement, s'il en manquait une ?
...they can still maintain enough insecurity to be vulnerable, which is attractive.	Elles peuvent maintenir une insécurité suffisante pour être vulnérables, ce qui est attirant.	It's the in-betweens that are a problem. Right, exactly. Yeah, women under 18 and over 40 are the best at relationships, - 'cause the young ones... - True.<brk> ...they can still maintain enough insecurity to be vulnerable, which is attractive.		...<p>they</p> can still maintain enough insecurity to be vulnerable, which is attractive.	Elles peuvent toujours maintenir assez d'insécurité pour être vulnérables ce qui est attirant.	<p>Elles</p> peuvent toujours maintenir assez d'insécurité pour être vulnérables ce qui est attirant.
You think it still works?	Vous pensez qu'elle marche encore?	How we made towers to work the weather. But the truth is... one day... it started to snow. And it never stopped. Hey! Is that what I think it is? Weather modification. Never seen one this close.<brk> You think it still works?		You think <p>it</p> still works?	Vous croyez qu'elle fonctionne encore?	Vous croyez qu'<p>elle</p> fonctionne encore?
If they don't, the other girls stay dead, and they lose their power.	Si elles ne le font pas, les autres filles restent mortes, et elles perdent leur pouvoir.	Though Davina must realize you owe her as much as she owes you. You never could have banned the witches from using magic without her. She's not exactly besties with them. I'm protecting her. A lot of them would like to get their hands on her and kill her to finish the harvest.<brk> If they don't, the other girls stay dead, and they lose their power.		If <p>they</p> don't, the other girls stay dead, and they lose their power.	Si elles ne le font pas, les autres filles resteront mortes, et elles perdront leurs pouvoirs.	Si <p>elles</p> ne le font pas, les autres filles resteront mortes, et elles perdront leurs pouvoirs.
I said they get ugly.	J'ai dit qu'elles deviennent moche.	"Odds're against you there, babe. Mom believes women don't grow more attractive with age. Oh, I disagree, I.. - No.. I didn't say they ""don't grow more attractive,""<brk> I said they get ugly."		I said <p>they</p> get ugly.	J'ai dit qu'elles devenaient laides.	J'ai dit qu'<p>elles</p> devenaient laides.
And if they do, you lose yours.	Et si c'est le cas, tu perds le tien.	You never could have banned the witches from using magic without her. She's not exactly besties with them. I'm protecting her. A lot of them would like to get their hands on her and kill her to finish the harvest. If they don't, the other girls stay dead, and they lose their power.<brk> And if they do, you lose yours.		And if <p>they</p> do, you lose yours.	Et si elles les perdent, tu perds les tiens aussi.	Et si <p>elles</p> les perdent, tu perds les tiens aussi.
It's possible they were involved in these losses personally and now feel they need to act.	Il est possible qu'ils aient été impliqués personnellement dans ces pertes et qu'ils aient maintenant l'impression d'avoir besoin d'agir.	Unlike solo vigilantes, they're working in concert and they're planning and executing coordinated attacks. Their mentality is like a lynch mob. They believe the justice system has gone wrong and it's up to them to set it right. Due to the pre-planning and level of commitment, we believe our unsubs are over 30. And they probably learned about the crimes they're avenging through the media.<brk> It's possible they were involved in these losses personally and now feel they need to act.		It's possible <p>they</p> were involved in these losses personally and now feel they need to act.	C'est possible qu'elles aient subi une perte personnelle et elles pensent qu'elles doivent agir.	C'est possible qu'<p>elles</p> aient subi une perte personnelle et elles pensent qu'elles doivent agir.
What if it went in their house?	Et si elle entrait dans leur maison?	Am I suspended, sir? You had a suspect on foot, and you fire your gun? Sir, I realize that... Do you know how this reflects on me? Not only do you abandon your post for coffee. You could've killed a bystander. That slug was found on somebody's front stoop.<brk> What if it went in their house?		What if <p>it</p> went in their house?	Et si elle avait pénétré dans leur maison ?	Et si <p>elle</p> avait pénétré dans leur maison ?
I like it how it is now!	J'aime bien ce qu'il est!	But Steven, it'll never get made with all the hardcore gay sex. That's why we're gonna cut those scenes out and deliver the clean script to Hollywood. Then this movie will definitely get made. Let's do it! Yeah!<brk> I like it how it is now!		I like it how <p>it</p> is now!	J'aime comme il est maintenant!	J'aime comme <p>il</p> est maintenant!
This photo proves that they were the last ones to see him alive, yet none of them gave statements to the cops.	Cette photo prouve qu'elles ont été les dernières à le voir en vie, mais aucune n'a fait de déclarations aux flics.	"There were no witnesses, so the trail went cold, they never solved the case. It's ""I know what you did last summer."" ""Who's the guiltiest of them all?"" The killer thinks that one of these women is responsible for his death. Maybe they are.<brk> This photo proves that they were the last ones to see him alive, yet none of them gave statements to the cops."		This photo proves that <p>they</p> were the last ones to see him alive, yet none of them gave statements to the cops.	Cette photo prouve qu'elles étaient les dernières à l'avoir vu vivant, pourtant personne n'en a parlé aux policiers.	Cette photo prouve qu'<p>elles</p> étaient les dernières à l'avoir vu vivant, pourtant personne n'en a parlé aux policiers.
It's, like, weird how much they hate me.	C'est bizarre à quel point elles me détestent.	It's gonna be cold, though. - You should stay here. Okay, you guys, Marina totally checked out my boobs in the shower. Those girls hate me.<brk> It's, like, weird how much they hate me.		It's, like, weird how much <p>they</p> hate me.	C'est, comme, bizarre à quel point elles me détestent.	C'est, comme, bizarre à quel point <p>elles</p> me détestent.
All they do is cry all the time.	Elles pleurent tout le temps.	Who is that talking? Oh, that's my friend Samantha. - Is she a girl? - Yeah. I hate women.<brk> All they do is cry all the time.		All <p>they</p> do is cry all the time.	Elles pleurent tout le temps.	<p>Elles</p> pleurent tout le temps.
If I do, they kill me.	Si je le fais, elles me tueront.	He must have stashed him elsewhere. I feel sick. Welcome to the family, love. You should have run the second your realized elijah was gone. Yeah. Well, the witches have put Some sort of hex on me. As long as I'm carrying this baby, I can't leave new orleans.<brk> If I do, they kill me.		If I do, <p>they</p> kill me.	Si je le fais, elles me tuent.	Si je le fais, <p>elles</p> me tuent.
But it swallowed the rabbit.	Mais il a avalé le lapin.	No one likes gypsies round here. Better make it Madam Zuleika. With a snake around her neck. Snake in the grass. I had a snake once.<brk> But it swallowed the rabbit.		But <p>it</p> swallowed the rabbit.	Mais il a avalé le lapin.	Mais <p>il</p> a avalé le lapin.
Alice and the boy don't know where it is.	Alice et le garçon ne savent pas où il est.	Hey! Sorry I been gone so long, but I think you'll appreciate what I was up to. I was finding your money. Ray's money. That's what you want, right? I can take you to it.<brk> Alice and the boy don't know where it is.		Alice and the boy don't know where <p>it</p> is.	Alice et le garçon ne savent pas où il est.	Alice et le garçon ne savent pas où <p>il</p> est.
Ah, that's 'cause it fits.	Ah, c'est parce qu'il convient.	You could order a Martini or something, Al. Irish whiskey is a little cop part, don't you think? I like the taste my whiskey. How do I look? Suit's a little tight.<brk> Ah, that's 'cause it fits.		Ah, that's 'cause <p>it</p> fits.	C'est qu'il te va bien.	C'est qu'<p>il</p> te va bien.
I lied so they don't have to worry, so that they can get back to their carefree, normal lives.	J'ai menti pour qu'elles n'aient pas à s'inquiéter, pour qu'elles puissent retrouver leur vie normale et sans soucis.	Just because I'm not dealing with this in the way that you want me to... You're not dealing with this at all, Jo. And you lied to the girls last night, telling them that you banished the shape-shifter. That's not possible. You don't know who it is.<brk> I lied so they don't have to worry, so that they can get back to their carefree, normal lives.		I lied so <p>they</p> don't have to worry, so that they can get back to their carefree, normal lives.	J'ai menti pour qu'elles n'aient pas à s'inquiéter, pour qu'elles retrouvent leur vie normale.	J'ai menti pour qu'<p>elles</p> n'aient pas à s'inquiéter, pour qu'elles retrouvent leur vie normale.
To make sure no one went in or out until it closed, yes, sir.	Pour s'assurer que personne n'entre ou ne sort jusqu'à ce qu'il ferme, oui.	Mr. Cross and his team dragged the creature through the forest to the anomaly. Yes, sir. It was an ornitholestes. They'd tranquilized it. Right, after which Mr. Cross asked you to have your men guard the anomaly.<brk> To make sure no one went in or out until it closed, yes, sir.		To make sure no one went in or out until <p>it</p> closed, yes, sir.	Pour s'assurer que personne n'y entre ou n'en sorte tant qu'elle ne s'était pas refermée, oui, monsieur.	Pour s'assurer que personne n'y entre ou n'en sorte tant qu'<p>elle</p> ne s'était pas refermée, oui, monsieur.
Concluded it was dangerous.	Il a dit qu'il était dangereux.	Hydriatic procedures in the treatment of insanity were quite common I was not, I'm afraid, ever convinced of their efficacy. But I was the junior and he was my father. And your father, he employed this treatment? He gave up on it in the end.<brk> Concluded it was dangerous.		Concluded <p>it</p> was dangerous.	Il avait conclu qu'il était dangereux.	Il avait conclu qu'<p>il</p> était dangereux.
No, they didn't have money for posters and no, they couldn't be bothered going door to door so they did what women do.	Non, elles n'avaient pas d'argent pour des affiches et non, elles ne pouvaient pas s'embêter à aller à porte alors elles ont fait ce que font les femmes.	It's time to own myself. Votes or no votes, if we succumb to this endless BS, we lose. And I am here to win. For every Irish woman who is sick and tired of the fish-stenched mouth of sexism. And so, our brave ladies of the night planned a subliminal campaign for the ages.<brk> No, they didn't have money for posters and no, they couldn't be bothered going door to door so they did what women do.		No, <p>they</p> didn't have money for posters and no, they couldn't be bothered going door to door so they did what women do.	Non, elles n'avaient pas d'argent pour faire des affiches, et non, elles ne feraient pas de porte-à-porte. Elles firent donc ce que toutes les femmes font...	Non, <p>elles</p> n'avaient pas d'argent pour faire des affiches, et non, elles ne feraient pas de porte-à-porte. Elles firent donc ce que toutes les femmes font...
That's true, they are private, but tracking him down's an expensive business, and so it's sort of like a quid pro quo, isn't it?	C'est vrai, elles sont privées, mais le retrouver est une entreprise chère, et donc c'est un peu comme un jeu de quid, n'est-ce pas?	Just go back further. Only I'm a little bit worried, because if we find him, he might be very disapproving of talking to the papers. Families are private things. I know. Go and stand back there.<brk> That's true, they are private, but tracking him down's an expensive business, and so it's sort of like a quid pro quo, isn't it?		That's true, <p>they</p> are private, but tracking him down's an expensive business, and so it's sort of like a quid pro quo, isn't it?	C'est vrai, elles sont privées, mais sa recherche est une entreprise coûteuse, et c'est donc un peu comme une contrepartie, non ?	C'est vrai, <p>elles</p> sont privées, mais sa recherche est une entreprise coûteuse, et c'est donc un peu comme une contrepartie, non ?
Because it opens inward, that's why not.	Parce qu'elle s'ouvre vers l'intérieur, c'est pourquoi pas.	I can see that. Uh, how about a key? I have a key, but it's padlocked from the outside. Well, I cannot break that door down. Why not?<brk> Because it opens inward, that's why not.		Because <p>it</p> opens inward, that's why not.	Parce qu'elle s'ouvre vers l'intérieur, voilà pourquoi.	Parce qu'<p>elle</p> s'ouvre vers l'intérieur, voilà pourquoi.
