source_full	source_current	source_context	source_tagged	gold_target_full	gold_target_current	gold_target_context	gold_target_tagged	generated_target_full	generated_target_current	generated_target_context
I'll show Zoe to her room. Then we meet for Midday Gathering. Let's go. Miss Robichaux's Academy for Exceptional Young Ladies was established as a premiere girls' finishing school in 1790. During the Civil War, it was converted into a military hospital.<brk> Afterwards, it came under new management.	Afterwards, it came under new management.	I'll show Zoe to her room. Then we meet for Midday Gathering. Let's go. Miss Robichaux's Academy for Exceptional Young Ladies was established as a premiere girls' finishing school in 1790. During the Civil War, it was converted into a military hospital.	Afterwards, <p>it</p> came under new management.	Après cela, elle a été confiée à une nouvelle direction.	Après cela, elle a été confiée à une nouvelle direction.	Je vais montrer sa chambre à Zoe. Puis on se retrouvera pour l'assemblée de midi. Allons-y L' Académie  de Miss Robichaux pour les jeunes filles exceptionnelles a été le premier pensionnat pour filles fondé en 1790. Pendant la Guerre Civile, elle a été convertie en hôpital militaire.	Après cela, <p>elle</p> a été confiée à une nouvelle direction.	Ensuite, il a été géré.	Ensuite, il a été géré.	
She wasn't you. I gotta go. I mean, you gotta admit, it was pretty rad. I locked a vampire in her dorm with an invisible seal. I mean, how many newbie witches have that on their resume?<brk> If they do, they don't brag about it as loudly.	If they do, they don't brag about it as loudly.	She wasn't you. I gotta go. I mean, you gotta admit, it was pretty rad. I locked a vampire in her dorm with an invisible seal. I mean, how many newbie witches have that on their resume?	If <p>they</p> do, they don't brag about it as loudly.	Si elles l'ont, elles ne s'en vantent pas aussi bruyamment.	Si elles l'ont, elles ne s'en vantent pas aussi bruyamment.	Elle n'était pas toi. Je dois y aller. Je veux dire, tu dois admettre que c'était vraiment génial. J'ai enfermé un vampire dans son dortoir avec un sceau invisible. Combien de  sorcières  débutantes ont cela sur leur CV ?	Si <p>elles</p> l'ont, elles ne s'en vantent pas aussi bruyamment.	Si c'est le cas, elles ne se vantent pas autant.	Si c'est le cas, elles ne se vantent pas autant.	
like the furies coming down to punish orestes. You have no idea what I'm talking about, do you? Was...washe theguy who stabbed out his eyes? God,that's oedipus, you dumbass! The furies are deities of vengeance.<brk> Their tears ran of blood, and they had snakes for hair.	Their tears ran of blood, and they had snakes for hair.	like the furies coming down to punish orestes. You have no idea what I'm talking about, do you? Was...washe theguy who stabbed out his eyes? God,that's oedipus, you dumbass! The furies are deities of vengeance.	Their tears ran of blood, and <p>they</p> had snakes for hair.	Leurs larmes étaient en sang, et elles avaient des serpents à la place des cheveux.	Leurs larmes étaient en sang, et elles avaient des serpents à la place des cheveux.	Comme les furies venaient pour punir Oreste. Tu ne sais pas de quoi je parle, n'est-ce pas ? Etait-ce celui qui s'est crevé les yeux ? Non, ça c'est Oedipe, crétin ! Les  furies  sont les déesses de la vengeance.	Leurs larmes étaient en sang, et <p>elles</p> avaient des serpents à la place des cheveux.	Leurs larmes coulait de sang, et elles avaient des serpents pour les cheveux.	Leurs larmes coulait de sang, et elles avaient des serpents pour les cheveux.	
You didn't find anything in my room, did you? Just tell me what you know about the riot. Which one of you guys killed my wife? What makes you think it was one of us? How are the women doing after this morning?<brk> Well, they hate it when a kid's used like that.	Well, they hate it when a kid's used like that.	You didn't find anything in my room, did you? Just tell me what you know about the riot. Which one of you guys killed my wife? What makes you think it was one of us? How are the women doing after this morning?	Well, <p>they</p> hate it when a kid's used like that.	Et bien, elles détestent quand un enfant est utilisé comme ça.	Et bien, elles détestent quand un enfant est utilisé comme ça.	Vous n'avez rien trouvé dans ma chambre, n'est-ce pas ? Dis-moi simplement ce que tu sais sur l'émeute. Laquelle de vous a tué ma femme ? Qu'est ce qui te fais croire que c'était l'une de nous ? Comment vont les  femmes  après ce matin ?	Et bien, <p>elles</p> détestent quand un enfant est utilisé comme ça.	Eh bien, elles détestent quand un enfant est utilisé comme ça.	Eh bien, elles détestent quand un enfant est utilisé comme ça.	
No questions asked. You swear to me? I swear. I'd like to present you all with this star, this... beacon... of Bethlehem. It was handcrafted for the Archdiocese of Boston.<brk> I've decided that this year, it should hang on your tree.	I've decided that this year, it should hang on your tree.	No questions asked. You swear to me? I swear. I'd like to present you all with this star, this... beacon... of Bethlehem. It was handcrafted for the Archdiocese of Boston.	I've decided that this year, <p>it</p> should hang on your tree.	J'ai décidé que cette année, elle irait sur votre sapin.	J'ai décidé que cette année, elle irait sur votre sapin.	Sans discuter. Vous me le jurez ? Je le jure. J'aimerais tous vous présenter cette  étoile ... ce fanal de Bethléem. Elle a été fabriquée à la main pour l'Archidiocèse de Boston.	J'ai décidé que cette année, <p>elle</p> irait sur votre sapin.	J'ai décidé que cette année, elle devrait s'accrocher à votre arbre.	J'ai décidé que cette année, elle devrait s'accrocher à votre arbre.	
It's best if you come with us. What a pity! You've got a cut! The dove! She threw it out the window.<brk> I was picking his things and it landed on my head.	I was picking his things and it landed on my head.	It's best if you come with us. What a pity! You've got a cut! The dove! She threw it out the window.	I was picking his things and <p>it</p> landed on my head.	Je ramassais des affaires et il m'est tombé sur la tête.	Je ramassais des affaires et il m'est tombé sur la tête.	Il vaut mieux que vous veniez. Quel dommage... Vous êtes blessée. Le  pigeon  ! Elle l'a jeté par la fenêtre.	Je ramassais des affaires et <p>il</p> m'est tombé sur la tête.	Je lui cueillais ses affaires et elle a atterri sur ma tête.	Je lui cueillais ses affaires et elle a atterri sur ma tête.	
Let's get started. Helping you find your happiness, saving you... That's what's gonna save me. This isn't your pixie dust, is it? Well, when you think about it, does anyone really own pixie dust? The fairies are quite proprietary about it.<brk> They find out you stole it, they would...	They find out you stole it, they would...	Let's get started. Helping you find your happiness, saving you... That's what's gonna save me. This isn't your pixie dust, is it? Well, when you think about it, does anyone really own pixie dust? The fairies are quite proprietary about it.	<p>They</p> find out you stole it, they would...	Si elles l'apprennent...	Si elles l'apprennent...	Lançons-nous. T'aider à trouver le bonheur, te sauver, c'est ça qui me sauvera. Ce n'est pas ta poussière ? La poussière peut-elle être à quelqu'un ? Les  fées  la considèrent comme leur propriété.	Si <p>elles</p> l'apprennent...	Elles s'aperçoivent que tu l'as volée, qu'elles...	Elles s'aperçoivent que tu l'as volée, qu'elles...	
Okay, okay. Calm down. First of all, you did the right thing by hiding under this table. Secondly, your man is here. I'm gonna take care of this for us. I've been playing Xbox for years.<brk> I'm really good at fixing it when it freezes.	I'm really good at fixing it when it freezes.	Okay, okay. Calm down. First of all, you did the right thing by hiding under this table. Secondly, your man is here. I'm gonna take care of this for us. I've been playing Xbox for years.	I'm really good at fixing <p>it</p> when it freezes.	Je suis très doué pour la réparer quand elle plante.	Je suis très doué pour la réparer quand elle plante.	Calme toi. Premièrement, tu as fait ce qu'il fallait en te cachant sous cette table. Deuxièmement, ton homme est là. Je vais régler ça pour nous. Ca fait des années que je joue à la  Xbox .	Je suis très doué pour <p>la</p> réparer quand elle plante.	Je suis très doué pour la réparer quand elle gèle.	Je suis très doué pour la réparer quand elle gèle.	
I don't know who's behind it, and I don't want to. My girls... they have good life. They make good money. Legal money. They get nice clothes, apartment.<brk> They meet a nice guy, maybe they get more.	They meet a nice guy, maybe they get more.	I don't know who's behind it, and I don't want to. My girls... they have good life. They make good money. Legal money. They get nice clothes, apartment.	<p>They</p> meet a nice guy, maybe they get more.	Elles rencontrent des mecs sympas, elles peuvent même avoir plus.	Elles rencontrent des mecs sympas, elles peuvent même avoir plus.	Je ne sais pas qui est derrière ça, et je ne veux pas le savoir. Mes  filles ... Elles ont une belle vie. Elles rapportent beaucoup d'argent. De l'argent légal. Elles ont des beaux vêtements, de beaux appartements.	<p>Elles</p> rencontrent des mecs sympas, elles peuvent même avoir plus.	Elles rencontrent un type sympa, peut-être qu'elles en ont plus.	Elles rencontrent un type sympa, peut-être qu'elles en ont plus.	
- Ah, yes, the vehicle that you mentioned on the phone. You see, it makes a great deal of financial sense for me to buy a car of that price and then to ship it home. I'm head of the division of economic affairs, so you'll forgive me if I take a little pride in knowing how to strike a bargain. I'm not sure how you're gonna feel about your bargain now. That's my car?<brk> - Mmm. - What, you didn't... Know it was missing?	- Mmm. - What, you didn't... Know it was missing?	- Ah, yes, the vehicle that you mentioned on the phone. You see, it makes a great deal of financial sense for me to buy a car of that price and then to ship it home. I'm head of the division of economic affairs, so you'll forgive me if I take a little pride in knowing how to strike a bargain. I'm not sure how you're gonna feel about your bargain now. That's my car?	- Mmm. - What, you didn't... Know <p>it</p> was missing?	Vous ne saviez pas qu'elle avait disparu ?	Vous ne saviez pas qu'elle avait disparu ?	- Ah, oui, le véhicule dont vous parliez au téléphone. Vous savez, c'est une bonne affaire pour moi acheter une voiture à ce prix et l'expédier à la maison. Je suis à la tête de la division des affaires économiques, alors, vous m'excuserez de m'enorgueillir de savoir comment faire des affaires. Je ne sais pas ce que vous penserez de votre affaire à présent. C'est ma  voiture  ?	Vous ne saviez pas qu'<p>elle</p> avait disparu ?	Tu ne savais pas qu'elle avait disparu?	Tu ne savais pas qu'elle avait disparu?	
Yeah, that's... Real admirable. You know what? I'm gonna run that 5k, and when I win, I'll be celebrating in my poolside cabana with a big ol' Denver omelet to keep me company. A Denver omelet might actually be better company.<brk> Especially if it has fresh mozzarella.	Especially if it has fresh mozzarella.	Yeah, that's... Real admirable. You know what? I'm gonna run that 5k, and when I win, I'll be celebrating in my poolside cabana with a big ol' Denver omelet to keep me company. A Denver omelet might actually be better company.	Especially if <p>it</p> has fresh mozzarella.	Surtout si elle a de la mozzarella fraiche.	Surtout si elle a de la mozzarella fraiche.	Oui, c'est... Vraiment admirable. Tu sais quoi ? Je vais faire cette course et après ma victoire, je fêterai ça dans ma cabane de piscine avec une bonne vielle omelette Denver pour me tenir compagnie. Une  omelette  Denver pourrait vraiment être d'une meilleure compagnie.	Surtout si <p>elle</p> a de la mozzarella fraiche.	Surtout si elle a de la mozzarella fraîche.	Surtout si elle a de la mozzarella fraîche.	
Rose, it'd be good it this week you could pay her special attention. - Look after her a lot. -Okay. Any questions? Have we got her report?<brk> Yes, it's in the infirmary already.	Yes, it's in the infirmary already.	Rose, it'd be good it this week you could pay her special attention. - Look after her a lot. -Okay. Any questions? Have we got her report?	Yes, <p>it</p>'s in the infirmary already.	Oui, il est à l'infirmerie.	Oui, il est à l'infirmerie.	Rose, il serait bon que vous en preniez soin. - Dorlotez-la. - D'accord. Vous avez des questions ? On dispose de son  rapport  ?	Oui, <p>il</p> est à l'infirmerie.	Oui, il est déjà en infirmerie.	Oui, il est déjà en infirmerie.	
True. Did you mention we stole a horse? Yes. Good. You mustn't tell lies.<brk> And that it ran off before we all got a go.	And that it ran off before we all got a go.	True. Did you mention we stole a horse? Yes. Good. You mustn't tell lies.	And that <p>it</p> ran off before we all got a go.	Et qu'il s'est sauvé avant qu'on ait tous fait un tour.	Et qu'il s'est sauvé avant qu'on ait tous fait un tour.	C'est vrai. As-tu écrit qu'on avait volé un  cheval  ? Oui. C'est bien. Il faut pas que tu racontes des mensonges.	Et qu'<p>il</p> s'est sauvé avant qu'on ait tous fait un tour.	Et qu'il s'est enfui avant que nous puissions tous essayer.	Et qu'il s'est enfui avant que nous puissions tous essayer.	
The dancer guy? - I don't know why I said that. - I don't either. Folks, we need you to look at some photographs, but I will warn you, they are a little bit graphic. Oh, heavens. I apologise.<brk> Yeah, they're graphic.	Yeah, they're graphic.	The dancer guy? - I don't know why I said that. - I don't either. Folks, we need you to look at some photographs, but I will warn you, they are a little bit graphic. Oh, heavens. I apologise.	Yeah, <p>they</p>'re graphic.	Ouais, elles sont explicites.	Ouais, elles sont explicites.	Le mec qui danse ? - Je ne sais pas pourquoi j'ai dit ça. - Moi non plus. On veut que vous regardiez des  photos , mais je vous préviens, elles sont un peu explicites. Grand Dieu Désolé.	Ouais, <p>elles</p> sont explicites.	Oui, elles sont crues.	Oui, elles sont crues.	
I don't know. And you will, bro. No. Truth is, I'm a pariah in the financial world. My name is ruined.<brk> Look, I don't know about any of that, but here it ain't.	Look, I don't know about any of that, but here it ain't.	I don't know. And you will, bro. No. Truth is, I'm a pariah in the financial world. My name is ruined.	Look, I don't know about any of that, but here <p>it</p> ain't.	Ecoute, je ne sais rien à propos de ça, mais ici il ne l'est pas.	Ecoute, je ne sais rien à propos de ça, mais ici il ne l'est pas.	Je sais pas. T'y arriveras. Non. La vérité, c'est que je suis un paria dans le monde de la finance. Mon  nom  est détruit.	Ecoute, je ne sais rien à propos de ça, mais ici <p>il</p> ne l'est pas.	Je ne sais rien de tout ça, mais il n'est pas là.	Je ne sais rien de tout ça, mais il n'est pas là.	
Miller - family. Who are they and where were they? Beth had Chloe, their eldest daughter, when she was 15. Mark was 17. Mum and daughter were at home watching telly.<brk> They say they didn't leave the house until school next morning.	They say they didn't leave the house until school next morning.	Miller - family. Who are they and where were they? Beth had Chloe, their eldest daughter, when she was 15. Mark was 17. Mum and daughter were at home watching telly.	<p>They</p> say they didn't leave the house until school next morning.	Elles  ont dit qu'elles n'avaient pas quitté la maison avant le matin.	Elles  ont dit qu'elles n'avaient pas quitté la maison avant le matin.	Miller : famille. Qui sont-ils et où étaient-ils ? Beth a eu Chloé, leur ainée, quand elle avait 15 ans. Mark en avait 17. Mère et fille étaient à la maison, à regarder la télé.	<p>Elles</p>  ont dit qu'elles n'avaient pas quitté la maison avant le matin.	Ils disent qu'ils ne sont pas sortis avant l'école.	Ils disent qu'ils ne sont pas sortis avant l'école.	
This clever lady has contrived a most intricate problem. I have been admiring the house. I thank you. It was built by my husband's greatgrandfather. There was an Elizabethan manor before.<brk> But it burnt down.	But it burnt down.	This clever lady has contrived a most intricate problem. I have been admiring the house. I thank you. It was built by my husband's greatgrandfather. There was an Elizabethan manor before.	But <p>it</p> burnt down.	Mais il a brûlé.	Mais il a brûlé.	Cette dame spirituelle a inventé une énigme des plus complexes. J'admire la maison. Je vous remercie. Elle a été construite par l'arrière-grand-père de mon mari. Il s'y trouvait un  manoir  élisabéthain, autrefois.	Mais <p>il</p> a brûlé.	Mais elle a brûlé.	Mais elle a brûlé.	
We need to give the profile. We believe that these unsubs are two women who are killing people convicted of heinous crimes. You son of a bitch! You son of a bitch! He'll be out in 10 years.<brk> Unlike solo vigilantes, they're working in concert and they're planning and executing coordinated attacks.	Unlike solo vigilantes, they're working in concert and they're planning and executing coordinated attacks.	We need to give the profile. We believe that these unsubs are two women who are killing people convicted of heinous crimes. You son of a bitch! You son of a bitch! He'll be out in 10 years.	Unlike solo vigilantes, <p>they</p>'re working in concert and they're planning and executing coordinated attacks.	A la différence des vengeurs solitaires, elles travaillent de concert et elles prévoient et exécutent des attaques coordonnées.	A la différence des vengeurs solitaires, elles travaillent de concert et elles prévoient et exécutent des attaques coordonnées.	Nous devons donner le profil. Nous pensons que nos suspects sont deux  femmes  qui tuent les gens condamnés pour des crimes odieux. Fils de pute ! Fils de pute ! Il sera sorti dans 10 ans.	A la différence des vengeurs solitaires, <p>elles</p> travaillent de concert et elles prévoient et exécutent des attaques coordonnées.	Contrairement aux justiciers solitaires, ils travaillent de concert et ils préparent et mènent des attaques coordonnées.	Contrairement aux justiciers solitaires, ils travaillent de concert et ils préparent et mènent des attaques coordonnées.	
Come on, man. This is your chance to be the hero. - I don't know, David. - Don't do it for me. Don't even do it for you. Do it for the girls. For Rose and Casey.<brk> Because, believe me, they won't last two days in a Mexican prison.	Because, believe me, they won't last two days in a Mexican prison.	Come on, man. This is your chance to be the hero. - I don't know, David. - Don't do it for me. Don't even do it for you. Do it for the girls. For Rose and Casey.	Because, believe me, <p>they</p> won't last two days in a Mexican prison.	Elles tiendront pas deux jours dans une prison mexicaine.	Elles tiendront pas deux jours dans une prison mexicaine.	Tu peux être le héros de l'histoire. - Je sais pas... - Fais pas ça pour moi. Ni même pour toi. Fais-le pour les  filles .	<p>Elles</p> tiendront pas deux jours dans une prison mexicaine.	Parce que, croyez-moi, elles ne dureront pas deux jours dans une prison Mexicaine.	Parce que, croyez-moi, elles ne dureront pas deux jours dans une prison Mexicaine.	
There's no need. But if you like, we can take another look. See... Now we're in the esophagus. It's going further... It's not yet in the stomach. Look, this opening is the entry to the stomach.<brk> Now it's going into the stomach.	Now it's going into the stomach.	There's no need. But if you like, we can take another look. See... Now we're in the esophagus. It's going further... It's not yet in the stomach. Look, this opening is the entry to the stomach.	Now <p>it</p>'s going into the stomach.	Maintenant elle entre dans l'estomac.	Maintenant elle entre dans l'estomac.	Je suis sûr de moi, mais si vous voulez... on la regarde encore une fois. Regardez, elle est dans l'oesophage. Elle avance.  Elle  n'est pas encore arrivée dans l'estomac. Regardez cette fente, c'est l'entrée dans l'estomac.	Maintenant <p>elle</p> entre dans l'estomac.	Maintenant elle va dans l'estomac.	Maintenant elle va dans l'estomac.	
Dr. Gourse? You talked to Dr. Gourse? Yes. He said Lexy is too sick for this to work. This man's blood won't do anything.<brk> But it has to.	But it has to.	Dr. Gourse? You talked to Dr. Gourse? Yes. He said Lexy is too sick for this to work. This man's blood won't do anything.	But <p>it</p> has to.	Mais il le doit.	Mais il le doit.	Dr Gourse ? Vous avez parlé au Dr Gourse ? Oui. Il a dit que Lexi est trop malade pour que ça marche. Le  sang  de cet homme ne fera rien du tout.	Mais <p>il</p> le doit.	Mais il le doit.	Mais il le doit.	
What if she knocked it on the way to the pool? A suicidal woman carefully replaces a damaged pot before lowering herself silently into the water? No. The tea. The tea has to hold the key.<brk> If it didn't poison her, why prepare it and only drink half a cup?	If it didn't poison her, why prepare it and only drink half a cup?	What if she knocked it on the way to the pool? A suicidal woman carefully replaces a damaged pot before lowering herself silently into the water? No. The tea. The tea has to hold the key.	If <p>it</p> didn't poison her, why prepare it and only drink half a cup?	S'il ne l'a pas empoisonné, pourquoi le préparer et n'en boire que la moitié ?	S'il ne l'a pas empoisonné, pourquoi le préparer et n'en boire que la moitié ?	Et si elle l'avait cogné en allant à la piscine ? Une femme suicidaire replace délicatement un pot endommagé avant de se laisser couler en silence dans l'eau ? Non. Le  thé . Le thé détient la clé.	S'<p>il</p> ne l'a pas empoisonné, pourquoi le préparer et n'en boire que la moitié ?	S'il ne l'a pas empoisonnée, pourquoi le préparer et ne boire que la moitié d'une tasse?	S'il ne l'a pas empoisonnée, pourquoi le préparer et ne boire que la moitié d'une tasse?	
Hey! Help! I'm here! I'm still here! All the other students were killed in the crash. I stayed by the fire as long as I could.<brk> But by the next day, it had burned out.	But by the next day, it had burned out.	Hey! Help! I'm here! I'm still here! All the other students were killed in the crash. I stayed by the fire as long as I could.	But by the next day, <p>it</p> had burned out.	Le lendemain, il était éteint.	Le lendemain, il était éteint.	Hé ! À l'aide ! Je suis toujours là ! Tous les autres étudiants ont été tués dans l'écrasement d'avion. Je suis restée près du  feu  le plus longtemps possible.	Le lendemain, <p>il</p> était éteint.	Mais le jour suivant, il avait brûlé.	Mais le jour suivant, il avait brûlé.	
Looks like you won't be getting your lesbian after all. Yeah, we'll see. Can I just say something? I know that you all think you're being all open-minded by electing these two homecoming queens, but I think you all should know they're not really lesbians. Lauren, give me the microphone.<brk> No, they're just pretending to be so that all of you will like them!	No, they're just pretending to be so that all of you will like them!	Looks like you won't be getting your lesbian after all. Yeah, we'll see. Can I just say something? I know that you all think you're being all open-minded by electing these two homecoming queens, but I think you all should know they're not really lesbians. Lauren, give me the microphone.	No, <p>they</p>'re just pretending to be so that all of you will like them!	Non, elles prétendent juste l'être Pour être aimées par vous tous !	Non, elles prétendent juste l'être Pour être aimées par vous tous !	On dirait que tu n'auras pas ta lesbienne après tout. Ouais, on verra. Est-ce que je peux juste dire quelque chose? Je sais que vous pensez tous être ouvert d'esprit En élisant ces deux  reines , Mais je pense que vous devriez savoir qu'elles ne sont pas vraiment lesbienne. Lauren, donne-moi le micro.	Non, <p>elles</p> prétendent juste l'être Pour être aimées par vous tous !	Non, elles font semblant d'être pour que vous les aimez toutes!	Non, elles font semblant d'être pour que vous les aimez toutes!	
